NO,DAL,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,35,5-9,2-4,0-0,1,5,6,3,3,0,1,4,12,+2
J. ValanciunasJ. ValanciunasC,34,10-16,2-3,0-0,1,10,11,3,1,0,3,4,22,-6
D. GrahamD. GrahamPG,33,2-8,2-7,2-2,0,0,0,10,1,0,1,0,8,+10
J. HartJ. HartSG,38,8-13,1-2,5-6,1,5,6,5,1,0,3,3,22,+5
N. Alexander-WalkerN. Alexander-WalkerSG,38,8-20,2-11,0-0,0,1,1,4,1,0,2,1,18,-1
N. MarshallN. MarshallSF,13,0-5,0-2,0-0,2,3,5,0,0,0,2,0,0,-25
J. HayesJ. HayesC,14,4-7,0-0,2-3,2,1,3,0,0,0,0,3,10,-10
K. Lewis Jr.K. Lewis Jr.PG,7,0-3,0-3,0-0,1,0,1,0,0,0,0,0,0,-20
T. SatoranskyT. SatoranskySG,18,0-4,0-0,0-0,1,4,5,2,0,0,0,0,0,-21
T. Murphy IIIT. Murphy IIISG,11,0-2,0-2,0-0,0,1,1,0,0,0,1,1,0,-14
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,30,2-4,2-4,0-2,1,1,2,2,2,0,2,2,6,+3
T. Hardaway Jr.T. Hardaway Jr.SF,33,6-9,4-5,1-2,0,6,6,4,0,0,0,0,17,+11
D. PowellD. PowellC,22,3-7,0-3,0-0,5,3,8,3,1,0,1,2,6,-1
K. PorzingisK. PorzingisC,26,4-13,3-8,1-1,0,8,8,3,0,1,2,4,12,+7
L. DoncicL. DoncicPG,33,10-21,2-5,3-5,2,3,5,5,1,1,5,3,25,-2
R. BullockR. BullockSF,21,5-7,2-3,0-0,1,3,4,1,0,1,0,0,12,+13
S. BrownS. BrownSF,11,0-3,0-3,0-0,0,4,4,0,0,0,0,1,0,+1
B. MarjanovicB. MarjanovicC,8,2-3,0-0,0-0,0,0,0,1,0,0,0,1,4,+3
W. Cauley-SteinW. Cauley-SteinC,5,0-0,0-0,0-0,0,2,2,0,0,0,0,0,0,-5
M. BrownM. BrownC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
J. BrunsonJ. BrunsonPG,31,7-12,0-2,3-3,0,4,4,6,1,0,2,1,17,+26
F. NtilikinaF. NtilikinaPG,18,4-6,1-2,0-0,0,3,3,2,2,0,0,1,9,+24
J. GreenJ. GreenSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
