ATL,GS,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,31,6-7,2-3,5-6,0,6,6,1,0,0,0,0,19,-8
D. HunterD. HunterSF,23,4-9,2-5,1-2,0,2,2,0,1,0,1,3,11,-1
C. CapelaC. CapelaC,23,1-5,0-0,0-2,1,5,6,2,0,1,1,0,2,-5
T. YoungT. YoungPG,32,11-20,4-8,2-3,0,3,3,9,1,0,4,2,28,-9
B. BogdanovicB. BogdanovicSG,31,7-14,3-8,0-0,0,1,1,2,0,1,2,2,17,-17
D. GallinariD. GallinariPF,22,1-7,0-4,2-2,0,3,3,1,1,0,3,1,4,-19
S. HillS. HillSF,13,0-1,0-0,0-0,0,2,2,1,0,0,0,0,0,-1
C. ReddishC. ReddishSF,13,1-4,1-3,0-0,0,2,2,0,0,0,2,2,3,-10
G. DiengG. DiengC,5,1-1,1-1,0-0,0,2,2,1,0,0,0,0,3,+7
D. WrightD. WrightSG,16,0-2,0-2,7-8,2,3,5,2,2,0,1,1,7,-5
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,5,2-4,1-3,3-3,0,0,0,0,1,0,0,0,8,+7
K. HuerterK. HuerterSG,25,4-8,3-6,0-0,0,3,3,2,0,0,4,5,11,-9
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,30,2-8,0-1,0-0,4,3,7,9,2,0,3,3,4,+13
A. WigginsA. WigginsSF,26,5-12,1-4,2-2,1,3,4,1,1,0,1,0,13,+3
K. LooneyK. LooneyC,17,2-3,0-0,2-2,1,5,6,1,0,0,0,3,6,+8
S. CurryS. CurryPG,35,14-28,9-19,13-13,2,5,7,10,4,1,2,0,50,+31
J. PooleJ. PooleSG,32,6-17,3-10,1-1,0,4,4,4,2,0,0,2,16,-12
N. BjelicaN. BjelicaPF,13,2-2,1-1,2-2,0,2,2,0,1,0,2,2,7,+17
J. KumingaJ. KumingaPF,7,0-1,0-0,1-2,0,1,1,0,0,0,1,2,1,-3
A. IguodalaA. IguodalaF,20,3-5,0-2,0-0,0,0,0,2,0,1,0,1,6,+11
J. Toscano-AndersonJ. Toscano-AndersonSF,15,4-5,3-4,0-0,0,1,1,1,1,1,2,2,11,-2
J. DowtinJ. DowtinPG,4,0-1,0-0,0-0,0,1,1,0,0,0,0,1,0,-6
D. LeeD. LeeSG,18,5-8,1-3,0-0,1,1,2,2,0,1,0,0,11,-7
G. Payton IIG. Payton IISG,21,1-2,0-0,0-0,1,3,4,1,2,0,2,6,2,+22
M. MoodyM. MoodySG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
