POR,LAC,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,39,2-8,1-6,1-1,0,5,5,6,1,1,2,2,6,-5
N. PowellN. PowellSF,32,8-13,5-6,2-4,1,2,3,3,1,0,0,2,23,+7
J. NurkicJ. NurkicC,27,6-9,1-1,2-2,1,12,13,6,1,0,2,3,15,+6
D. LillardD. LillardPG,39,11-23,4-13,1-1,1,4,5,6,0,0,2,0,27,-5
C. McCollumC. McCollumSG,34,6-15,0-2,1-2,1,2,3,3,1,1,2,2,13,-6
L. Nance Jr.L. Nance Jr.PF,9,2-6,1-3,0-0,2,2,4,1,0,1,0,0,5,-3
T. SnellT. SnellSF,8,1-1,1-1,0-0,0,0,0,0,0,0,0,1,3,-2
N. LittleN. LittleSF,16,2-3,0-1,0-0,0,2,2,1,2,2,0,3,4,-15
C. ZellerC. ZellerC,13,3-6,0-1,2-2,3,5,8,1,0,0,1,2,8,-12
A. SimonsA. SimonsSG,23,2-7,1-3,0-0,0,0,0,2,0,0,0,0,5,-5
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,29,7-9,6-8,2-3,0,6,6,1,1,0,0,2,22,+6
I. ZubacI. ZubacC,24,4-5,0-0,3-4,2,5,7,0,0,0,0,2,11,-1
R. JacksonR. JacksonPG,35,10-20,3-5,0-0,0,2,2,6,1,0,2,1,23,+13
E. BledsoeE. BledsoeSG,31,3-7,2-4,3-4,0,5,5,6,2,0,0,2,11,-2
P. GeorgeP. GeorgeSG,33,10-24,3-7,1-2,1,8,9,7,1,0,3,5,24,+9
J. WinslowJ. WinslowPF,5,1-2,0-0,0-0,0,4,4,0,0,0,2,0,2,-3
S. IbakaS. IbakaC,6,0-2,0-1,0-0,0,3,3,0,0,0,0,0,0,+9
I. HartensteinI. HartensteinC,17,6-7,0-0,2-4,2,0,2,3,0,0,1,4,14,+1
T. MannT. MannSG,33,2-5,1-3,2-2,0,5,5,1,0,0,0,1,7,+6
L. KennardL. KennardSG,27,1-4,1-2,0-0,0,0,0,1,0,0,0,0,3,+6
A. CoffeyA. CoffeySG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
B. Boston Jr.B. Boston Jr.SG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
