WSH,CLE,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,8-14,6-9,0-0,0,5,5,1,1,1,3,2,22,+3
D. GaffordD. GaffordC,22,2-5,0-0,0-0,2,4,6,1,2,0,0,1,4,-4
S. DinwiddieS. DinwiddiePG,30,4-11,1-5,2-2,1,9,10,6,0,0,2,1,11,+5
B. BealB. BealSG,37,4-19,1-5,6-6,1,6,7,7,0,0,4,5,15,+7
K. Caldwell-PopeK. Caldwell-PopeSG,28,1-8,0-5,3-3,0,1,1,1,2,1,0,1,5,-3
C. KispertC. KispertSF,14,4-7,1-3,0-0,1,3,4,0,0,0,0,1,9,+10
D. AvdijaD. AvdijaSF,16,0-0,0-0,0-0,0,2,2,0,1,0,0,1,0,-2
M. HarrellM. HarrellC,26,8-12,0-0,6-6,5,6,11,3,2,0,0,2,22,+5
R. NetoR. NetoPG,18,3-5,1-1,0-0,1,0,1,3,1,0,3,3,7,0
A. HolidayA. HolidayPG,14,1-3,0-0,0-0,1,1,2,3,0,0,0,3,2,-6
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,28,1-2,1-2,0-0,0,2,2,3,0,0,0,2,3,+7
I. OkoroI. OkoroSF,28,1-4,0-2,0-0,1,5,6,1,0,0,1,3,2,-2
J. AllenJ. AllenC,38,6-10,0-0,1-4,5,5,10,4,2,2,4,3,13,-6
E. MobleyE. MobleyC,26,7-15,1-3,4-5,0,7,7,2,0,1,2,3,19,-11
D. GarlandD. GarlandPG,36,8-16,3-10,0-0,0,1,1,4,1,0,4,2,19,+5
L. StevensL. StevensF,15,2-5,1-2,1-1,0,0,0,0,0,1,0,1,6,-12
C. OsmanC. OsmanSF,29,3-6,1-4,2-3,0,6,6,1,2,0,0,3,9,+1
T. FallT. FallC,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
R. RubioR. RubioPG,28,6-15,1-5,7-8,0,5,5,5,2,0,3,1,20,+2
D. WindlerD. WindlerSG,13,1-3,1-3,0-0,0,3,3,1,0,0,0,0,3,+3
