DET,HOU,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,35,12-23,4-9,7-9,0,5,5,3,0,2,1,2,35,+8
S. BeyS. BeySF,36,6-17,2-9,2-2,5,4,9,3,1,0,0,1,16,+14
I. StewartI. StewartC,15,2-3,0-0,0-0,3,5,8,1,1,1,0,5,4,0
C. CunninghamC. CunninghamPG,30,8-18,4-8,0-0,1,3,4,3,2,1,4,3,20,+1
K. HayesK. HayesPG,31,1-4,1-3,1-2,1,0,1,3,0,0,1,3,4,+1
K. OlynykK. OlynykPF,26,5-11,3-6,0-2,2,4,6,1,2,1,2,6,13,-8
T. LylesT. LylesPF,16,3-7,1-4,0-0,2,4,6,0,0,0,1,1,7,+2
C. JosephC. JosephPG,17,2-5,1-3,0-1,0,2,2,5,0,0,5,3,5,+10
F. JacksonF. JacksonPG,16,0-3,0-3,0-0,0,0,0,0,0,0,0,1,0,+3
J. JacksonJ. JacksonSG,19,3-6,0-3,2-2,2,6,8,4,0,1,0,1,8,+9
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,29,4-9,0-1,6-9,4,4,8,1,2,1,1,4,14,+9
D. TheisD. TheisC,27,3-4,0-1,0-0,0,4,4,1,1,2,1,4,6,-14
C. WoodC. WoodC,37,7-14,3-6,3-6,2,7,9,3,0,0,0,2,20,0
K. Porter Jr.K. Porter Jr.SG,36,4-11,2-5,8-14,1,4,5,5,1,1,5,2,18,-8
J. GreenJ. GreenSG,38,8-20,3-11,4-4,1,4,5,2,0,0,2,2,23,0
K. Martin Jr.K. Martin Jr.F,9,1-3,0-0,0-0,0,4,4,0,0,0,0,0,2,-1
D. House Jr.D. House Jr.SF,19,3-9,2-4,0-0,0,2,2,2,0,0,1,1,8,-13
D. NwabaD. NwabaSF,12,0-2,0-1,0-0,0,4,4,1,1,1,1,2,0,-9
E. GordonE. GordonSG,30,4-9,2-5,1-1,0,1,1,1,0,0,2,2,11,-10
J. ChristopherJ. ChristopherSG,5,1-1,0-0,0-0,0,0,0,1,0,0,0,1,2,+6
