CHA,MEM,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,38,6-15,2-6,11-11,2,3,5,5,1,0,5,1,25,-2
M. BridgesM. BridgesSF,32,3-11,1-4,3-4,2,7,9,6,2,1,2,0,10,+12
M. PlumleeM. PlumleeC,27,3-4,0-0,0-0,0,4,4,5,1,2,0,6,6,0
L. BallL. BallPG,32,5-13,2-7,0-1,1,8,9,8,2,0,4,3,12,-7
T. RozierT. RozierSG,27,4-14,1-3,2-3,1,2,3,5,2,1,2,0,11,+5
J. McDanielsJ. McDanielsPF,22,2-5,1-3,1-1,0,6,6,1,1,1,1,1,6,+15
C. MartinC. MartinSF,20,3-8,1-4,0-0,1,3,4,1,2,0,1,0,7,+7
N. RichardsN. RichardsC,10,2-3,0-0,0-0,0,4,4,0,0,2,0,5,4,0
K. Oubre Jr.K. Oubre Jr.SG,31,13-17,7-9,4-4,2,3,5,1,2,0,2,0,37,+20
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,30,8-13,3-6,0-0,3,3,6,2,1,2,0,2,19,+10
S. AdamsS. AdamsC,28,4-5,0-0,1-5,8,6,14,3,0,2,2,1,9,+9
J. MorantJ. MorantPG,37,13-27,1-6,5-5,2,5,7,8,3,0,3,1,32,+6
D. BaneD. BaneSG,21,1-10,0-7,0-0,0,1,1,0,0,0,1,6,2,-3
D. MeltonD. MeltonSG,32,3-11,1-7,0-0,1,7,8,3,2,2,1,1,7,+10
B. ClarkeB. ClarkePF,12,1-6,0-1,0-0,3,1,4,2,1,1,0,0,2,-19
K. AndersonK. AndersonSF,25,5-11,0-2,2-4,1,6,7,2,2,0,2,2,12,-16
D. BrooksD. BrooksSF,26,8-17,4-7,0-0,0,4,4,6,2,0,2,4,20,-9
T. JonesT. JonesPG,11,0-2,0-1,1-1,1,1,2,0,0,0,3,0,1,-16
J. KoncharJ. KoncharSG,18,2-5,0-1,0-0,1,3,4,1,3,1,2,1,4,-22
