OKC,NO,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,34,5-9,1-3,3-4,2,5,7,1,0,0,2,4,14,+11
L. DortL. DortSF,34,8-13,2-7,9-10,0,5,5,2,0,0,1,3,27,+9
D. FavorsD. FavorsC,21,4-7,0-1,1-2,2,4,6,2,1,0,1,2,9,-11
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,36,7-19,2-7,8-11,0,7,7,5,1,2,5,2,24,+5
J. GiddeyJ. GiddeySG,31,3-10,1-3,0-0,5,7,12,9,1,0,5,3,7,+3
J. Robinson-EarlJ. Robinson-EarlPF,11,1-4,0-2,0-0,3,2,5,0,1,0,0,3,2,-4
K. WilliamsK. WilliamsSF,21,2-4,0-1,0-0,0,3,3,0,0,0,2,1,4,-1
G. DeckG. DeckSF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+2
M. MuscalaM. MuscalaC,13,3-4,3-3,3-3,0,1,1,1,1,1,1,1,12,+17
A. PokusevskiA. PokusevskiC,20,1-8,1-5,0-0,0,4,4,3,1,0,0,1,3,+4
T. MannT. MannPG,14,3-7,0-1,0-0,1,3,4,0,0,1,1,3,6,-1
T. JeromeT. JeromeSG,3,0-2,0-1,0-0,0,1,1,0,0,0,0,0,0,+6
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,29,0-5,0-1,3-4,1,2,3,5,2,0,1,3,3,-19
J. ValanciunasJ. ValanciunasC,39,9-20,1-3,6-7,3,12,15,2,1,1,0,2,25,-2
D. GrahamD. GrahamPG,34,7-18,3-9,1-3,2,0,2,4,1,0,0,1,18,+12
J. HartJ. HartSG,15,2-5,0-1,0-0,0,3,3,1,1,0,1,3,4,-1
N. Alexander-WalkerN. Alexander-WalkerSG,34,10-22,4-10,9-11,3,7,10,4,2,1,0,2,33,+4
H. JonesH. JonesSF,32,1-7,0-1,2-3,4,2,6,4,2,1,3,4,4,+8
J. HayesJ. HayesC,9,2-2,0-0,1-2,2,1,3,0,0,2,2,1,5,-6
K. Lewis Jr.K. Lewis Jr.PG,13,1-7,0-3,0-0,0,1,1,2,2,0,1,1,2,-20
T. SatoranskyT. SatoranskySG,19,0-3,0-3,1-2,0,3,3,2,1,0,1,2,1,+1
T. Murphy IIIT. Murphy IIISG,16,2-8,1-4,0-0,4,0,4,0,1,0,0,1,5,-17
