MIN,GS,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,14,1-5,0-1,0-0,0,1,1,0,1,0,0,5,2,-13
A. EdwardsA. EdwardsSF,42,16-27,7-13,9-12,2,4,6,5,2,0,6,1,48,-3
K. TownsK. TownsC,38,6-19,5-10,0-0,4,7,11,4,2,0,0,4,17,+2
P. BeverleyP. BeverleyPG,35,2-9,0-3,1-2,3,3,6,7,0,1,1,5,5,-10
D. RussellD. RussellPG,34,7-15,4-10,0-0,0,1,1,7,0,1,4,4,18,-13
J. VanderbiltJ. VanderbiltPF,18,1-1,0-0,0-0,5,1,6,2,2,2,3,4,2,+4
J. OkogieJ. OkogieSF,6,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-10
N. ReidN. ReidC,25,5-11,1-3,5-6,3,3,6,2,1,0,0,3,16,-19
J. McLaughlinJ. McLaughlinPG,5,0-2,0-1,0-0,0,0,0,1,0,0,0,0,0,+3
M. BeasleyM. BeasleySG,22,1-6,0-3,0-0,0,3,3,2,0,0,2,1,2,-6
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,21,0-3,0-1,7-8,2,3,5,6,2,1,3,0,7,+1
A. WigginsA. WigginsSF,32,14-19,3-6,4-4,1,3,4,0,2,0,4,3,35,+6
K. LooneyK. LooneyC,29,5-11,0-0,1-2,12,5,17,1,2,1,1,4,11,+3
S. CurryS. CurryPG,34,8-16,3-9,6-8,0,5,5,6,1,0,3,2,25,+11
J. PooleJ. PooleSG,37,5-17,2-11,2-2,1,4,5,2,1,0,1,2,14,+10
N. BjelicaN. BjelicaPF,19,3-7,1-4,2-2,2,3,5,0,1,1,0,1,9,+10
A. IguodalaA. IguodalaF,25,0-3,0-3,0-0,1,3,4,8,2,2,3,3,0,+19
O. Porter Jr.O. Porter Jr.SF,15,3-4,2-3,2-2,1,3,4,0,1,0,0,3,10,+11
J. Toscano-AndersonJ. Toscano-AndersonSF,7,0-2,0-2,5-6,0,1,1,0,1,1,1,0,5,-10
G. Payton IIG. Payton IISG,16,2-3,0-1,3-6,0,2,2,0,1,0,0,2,7,+3
M. MoodyM. MoodySG,5,0-0,0-0,0-0,0,1,1,0,0,0,0,1,0,+3
C. ChiozzaC. ChiozzaG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
