IND,UTAH,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,31,2-10,0-1,2-4,3,4,7,5,1,1,2,6,6,+10
J. HolidayJ. HolidaySF,29,2-7,2-7,0-0,0,4,4,0,1,0,0,3,6,-2
M. TurnerM. TurnerC,30,5-6,3-3,0-0,2,7,9,1,1,3,2,1,13,+11
M. BrogdonM. BrogdonPG,37,10-23,2-7,8-9,3,6,9,4,1,0,1,2,30,+5
C. DuarteC. DuarteSG,31,5-14,1-4,0-2,0,5,5,0,0,0,1,2,11,+11
T. CraigT. CraigSF,15,2-5,0-2,0-0,1,2,3,1,0,0,2,0,4,-3
G. BitadzeG. BitadzeC,6,1-1,0-0,0-0,0,2,2,0,2,0,1,4,2,+1
T.J. McConnellT.J. McConnellPG,30,10-14,1-1,0-0,5,3,8,5,1,0,1,2,21,+8
J. LambJ. LambSG,10,1-3,0-2,2-2,0,2,2,1,0,1,0,0,4,0
K. MartinK. MartinSG,20,5-13,2-4,2-2,1,3,4,2,0,0,0,3,14,+14
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,32,1-6,0-4,2-3,0,1,1,1,1,1,3,2,4,-13
B. BogdanovicB. BogdanovicSF,31,3-9,1-2,1-3,0,2,2,0,0,0,2,0,8,-13
R. GobertR. GobertC,31,7-10,0-0,5-7,1,10,11,0,0,1,2,2,19,-7
M. ConleyM. ConleyPG,27,2-6,1-4,1-2,1,2,3,8,2,0,2,4,6,-2
D. MitchellD. MitchellSG,33,11-20,3-7,1-1,0,5,5,4,3,0,0,3,26,-15
E. PaschallE. PaschallPF,12,4-4,1-1,0-0,1,0,1,1,0,1,0,1,9,-3
E. HughesE. HughesSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
H. WhitesideH. WhitesideC,16,4-7,0-0,0-4,4,3,7,0,0,1,0,1,8,-6
U. AzubuikeU. AzubuikeC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
J. ClarksonJ. ClarksonPG,24,3-14,2-10,3-3,0,2,2,3,0,0,1,2,11,0
J. InglesJ. InglesSG,26,3-6,1-4,0-0,0,4,4,4,0,0,2,1,7,-6
T. ForrestT. ForrestSG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
M. OniM. OniSG,1,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,+2
J. ButlerJ. ButlerSG,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
