MIA,LAC,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,27,3-5,0-0,0-0,5,5,10,0,0,1,3,4,6,-9
B. AdebayoB. AdebayoC,40,12-18,0-0,6-8,4,7,11,0,1,1,2,3,30,-5
K. LowryK. LowryPG,38,9-17,4-10,3-3,0,3,3,5,2,0,4,3,25,-6
T. HerroT. HerroPG,39,10-23,0-6,3-4,2,5,7,3,1,0,2,1,23,+2
D. RobinsonD. RobinsonSG,27,2-13,2-11,0-0,3,6,9,3,1,2,0,5,6,+11
C. MartinC. MartinSF,21,3-7,1-2,0-0,2,1,3,1,2,0,1,1,7,+4
D. DedmonD. DedmonC,8,0-0,0-0,2-2,1,2,3,0,0,0,0,1,2,+2
G. VincentG. VincentPG,23,2-6,0-4,0-0,0,0,0,6,1,0,1,3,4,-9
M. StrusM. StrusSG,17,2-8,2-8,0-0,1,3,4,0,1,0,2,0,6,-5
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,37,2-4,2-4,0-0,0,6,6,3,2,3,2,1,6,+5
I. ZubacI. ZubacC,29,7-10,0-0,4-6,3,8,11,1,0,2,0,4,18,+7
R. JacksonR. JacksonPG,31,7-17,2-8,6-6,1,2,3,2,0,0,2,1,22,+4
E. BledsoeE. BledsoeSG,40,9-16,2-6,1-1,0,3,3,3,0,3,1,1,21,+8
P. GeorgeP. GeorgeSG,38,11-25,3-9,2-2,2,2,4,5,3,0,3,1,27,-1
J. WinslowJ. WinslowPF,3,0-0,0-0,0-0,0,1,1,0,1,0,1,0,0,-6
I. HartensteinI. HartensteinC,18,2-4,0-0,2-2,3,4,7,1,0,1,2,2,6,-6
T. MannT. MannSG,18,0-3,0-2,0-0,0,1,1,2,0,0,1,1,0,-3
L. KennardL. KennardSG,27,5-12,2-8,0-0,0,6,6,3,3,0,0,3,12,+7
