MIL,BOS,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. PortisB. PortisC,41,10-15,1-4,1-2,1,5,6,2,0,0,2,4,22,-13
G. HillG. HillPG,38,7-16,2-9,0-0,1,3,4,3,1,0,1,3,16,+5
J. HolidayJ. HolidayPG,41,6-25,1-12,4-4,1,5,6,13,3,0,3,1,17,-9
P. ConnaughtonP. ConnaughtonSG,35,6-10,3-7,0-0,1,4,5,1,2,1,2,4,15,-18
G. AllenG. AllenSG,35,6-16,5-9,4-5,1,3,4,0,1,0,1,4,21,+10
S. OjeleyeS. OjeleyePF,31,1-3,0-0,0-0,4,3,7,1,0,2,0,2,2,-14
T. AntetokounmpoT. AntetokounmpoSF,12,3-3,0-0,0-0,2,0,2,0,0,0,0,1,6,+4
J. NworaJ. NworaSF,20,4-8,3-5,0-0,1,2,3,3,0,0,2,0,11,-9
R. HoodR. HoodSG,12,1-2,1-1,0-0,0,2,2,0,0,0,0,0,3,-1
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,42,10-25,5-13,2-4,2,9,11,1,0,2,3,1,27,+11
A. HorfordA. HorfordC,30,3-10,1-6,2-2,2,5,7,5,1,1,3,0,9,-5
R. Williams IIIR. Williams IIIC,41,5-5,0-0,2-2,6,4,10,3,0,3,3,1,12,+13
M. SmartM. SmartPG,42,7-13,2-5,3-3,2,4,6,6,3,0,0,4,19,+13
SchröderSchröder PG,41,16-27,3-9,3-3,1,7,8,3,1,0,6,3,38,+3
G. WilliamsG. WilliamsPF,16,2-4,0-2,0-0,0,2,2,2,0,0,0,0,4,0
A. NesmithA. NesmithSF,6,1-2,1-2,0-0,1,1,2,0,0,0,0,0,3,-1
J. RichardsonJ. RichardsonSG,28,2-6,0-3,4-4,1,5,6,2,0,1,1,2,8,+9
R. LangfordR. LangfordSG,19,1-4,0-1,0-0,1,0,1,0,0,0,0,1,2,+2
