PHX,MEM,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,25,6-10,5-8,0-0,0,5,5,0,0,2,1,2,17,+31
M. BridgesM. BridgesSF,29,5-7,3-3,0-0,0,2,2,1,2,0,1,4,13,+15
J. McGeeJ. McGeeC,15,4-6,0-0,1-1,2,4,6,0,1,0,1,4,9,+16
C. PaulC. PaulPG,28,6-12,0-2,3-3,0,4,4,12,5,0,2,2,15,+20
D. BookerD. BookerSG,26,7-17,1-5,2-2,1,4,5,7,0,0,3,2,17,+31
F. KaminskyF. KaminskyPF,27,4-7,0-1,0-0,1,5,6,1,1,2,0,1,8,+11
J. SmithJ. SmithPF,5,0-1,0-0,0-0,0,1,1,0,0,0,0,1,0,-2
A. NaderA. NaderSF,18,4-5,2-2,0-0,0,4,4,1,2,1,1,3,10,+12
C. JohnsonC. JohnsonSF,23,4-7,3-6,1-1,0,7,7,1,0,0,2,1,12,-6
C. PayneC. PaynePG,20,4-13,2-5,0-0,0,2,2,2,1,1,1,2,10,+5
L. ShametL. ShametSG,23,2-9,2-5,2-2,0,4,4,3,0,0,0,0,8,-8
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,26,7-18,2-6,3-4,0,4,4,1,0,2,2,3,19,-12
S. AdamsS. AdamsC,22,2-6,0-0,1-4,6,4,10,1,1,0,1,2,5,-26
J. MorantJ. MorantPG,32,10-19,0-2,6-9,1,11,12,6,2,0,5,2,26,-23
D. BaneD. BaneSG,24,4-13,1-4,0-0,1,7,8,1,0,2,0,2,9,-20
D. MeltonD. MeltonSG,17,1-5,1-3,0-0,0,1,1,1,0,0,4,1,3,-26
B. ClarkeB. ClarkePF,19,4-7,0-1,0-0,3,1,4,2,0,2,0,1,8,+7
S. AldamaS. AldamaPF,5,1-5,0-2,0-0,1,0,1,1,0,0,0,0,2,-1
K. AndersonK. AndersonSF,18,1-4,0-1,2-2,1,1,2,1,2,0,1,1,4,-15
Tillman Sr.T.  Sr.C,8,1-3,0-2,0-0,1,3,4,1,0,0,1,0,2,-1
T. JonesT. JonesPG,15,3-5,1-2,0-0,0,2,2,2,0,0,1,0,7,+3
J. KoncharJ. KoncharSG,24,1-4,1-3,1-4,2,4,6,1,1,0,0,1,4,+6
S. MerrillS. MerrillSG,8,1-3,1-3,0-0,0,2,2,1,0,0,0,1,3,-1
Y. PonsY. PonsSG,3,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0,-3
Z. WilliamsZ. WilliamsSG,19,1-5,0-4,0-0,0,2,2,0,0,0,0,2,2,-13
