BKN,NO,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,38,11-17,3-3,3-4,0,7,7,8,0,0,2,0,28,+17
B. GriffinB. GriffinPF,26,3-12,0-5,2-3,2,3,5,3,1,2,0,4,8,+9
J. HarrisJ. HarrisSF,37,9-12,6-8,0-0,0,2,2,0,2,0,0,4,24,+15
B. BrownB. BrownSF,22,2-5,1-1,1-1,3,2,5,0,3,0,0,3,6,-3
J. HardenJ. HardenSG,38,11-18,6-10,11-15,0,5,5,12,1,1,6,3,39,+17
P. MillsapP. MillsapPF,6,1-1,0-0,0-0,0,0,0,0,0,0,0,2,2,-3
L. AldridgeL. AldridgeC,22,2-6,0-0,3-4,1,5,6,1,1,1,1,1,7,-1
P. MillsP. MillsPG,25,0-4,0-3,0-0,0,2,2,1,0,0,2,2,0,+1
J. CarterJ. CarterPG,11,2-5,2-4,0-0,0,0,0,1,0,0,0,0,6,-8
D. BembryD. BembrySG,15,0-2,0-0,0-0,1,1,2,1,1,0,1,1,0,-4
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,36,6-13,4-8,1-1,0,6,6,2,0,2,0,2,17,-21
J. ValanciunasJ. ValanciunasC,30,6-14,0-1,8-8,4,8,12,3,0,1,1,4,20,-5
D. GrahamD. GrahamPG,31,5-11,3-7,1-2,1,2,3,6,2,1,5,3,14,-14
J. HartJ. HartSG,38,6-13,1-3,0-0,1,6,7,5,0,1,1,3,13,-19
N. Alexander-WalkerN. Alexander-WalkerSG,25,6-12,3-6,1-2,1,1,2,0,0,0,4,5,16,-2
H. JonesH. JonesSF,23,5-8,1-3,0-0,0,4,4,1,2,0,3,6,11,0
J. HayesJ. HayesC,18,4-5,0-0,1-2,1,1,2,1,0,0,1,1,9,-3
K. Lewis Jr.K. Lewis Jr.PG,5,1-1,0-0,0-0,0,0,0,1,0,0,0,0,2,+2
T. SatoranskyT. SatoranskySG,16,1-3,0-0,0-0,0,1,1,6,1,0,0,2,2,+4
T. Murphy IIIT. Murphy IIISG,18,3-8,1-4,1-1,4,2,6,1,1,0,0,0,8,+18
