SAC,OKC,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,24,4-12,3-8,3-4,1,4,5,0,0,1,1,0,14,+7
H. BarnesH. BarnesSF,34,8-14,1-2,4-6,0,5,5,0,0,0,1,1,21,-1
R. HolmesR. HolmesC,32,7-9,0-0,2-2,4,11,15,1,2,4,4,3,16,+2
D. FoxD. FoxPG,35,5-14,2-7,4-5,0,1,1,5,0,0,2,2,16,+2
T. HaliburtonT. HaliburtonPG,35,3-13,2-6,0-0,2,6,8,7,0,1,1,1,8,+2
M. HarklessM. HarklessSF,8,0-2,0-2,0-0,0,1,1,0,0,1,0,0,0,+3
T. ThompsonT. ThompsonC,16,3-7,0-0,0-0,4,6,10,0,1,0,2,3,6,-4
D. MitchellD. MitchellPG,21,2-6,1-2,0-0,0,2,2,2,1,0,0,0,5,-15
B. HieldB. HieldSG,25,5-12,4-9,0-0,0,1,1,5,0,0,1,2,14,+1
T. DavisT. DavisSG,9,1-6,1-5,0-0,0,1,1,0,1,0,1,0,3,-7
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,33,6-8,2-3,1-2,2,6,8,0,0,2,1,1,15,-1
J. Robinson-EarlJ. Robinson-EarlPF,29,1-9,0-1,0-0,4,10,14,1,2,0,0,0,2,+5
L. DortL. DortSF,33,9-18,2-8,2-3,3,2,5,1,2,1,1,3,22,-8
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,35,9-24,2-8,2-2,0,2,2,3,2,0,4,5,22,-8
J. GiddeyJ. GiddeySG,25,3-8,1-1,0-0,0,5,5,5,0,0,1,1,7,0
K. WilliamsK. WilliamsSF,18,3-5,1-2,2-2,1,4,5,0,1,0,0,2,9,+13
D. FavorsD. FavorsC,14,3-6,0-0,0-0,1,2,3,0,0,0,0,0,6,+6
M. MuscalaM. MuscalaC,12,2-4,1-3,2-2,0,1,1,0,0,1,0,1,7,+7
A. PokusevskiA. PokusevskiC,16,0-5,0-2,1-2,3,3,6,2,0,2,1,0,1,-9
T. MannT. MannPG,19,5-8,1-1,1-2,1,1,2,1,1,0,2,4,12,+4
T. JeromeT. JeromeSG,6,1-4,0-1,0-0,1,0,1,0,0,0,0,1,2,+1
