MEM,NO,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,22,1-8,0-3,2-4,2,1,3,0,2,2,1,3,4,-20
D. BrooksD. BrooksSF,31,8-18,2-4,5-5,2,3,5,0,0,0,3,3,23,-13
S. AdamsS. AdamsC,37,5-8,0-0,5-7,4,5,9,4,2,3,1,3,15,0
J. MorantJ. MorantPG,37,8-17,3-5,3-3,2,7,9,10,1,0,1,0,22,+4
D. BaneD. BaneSG,31,6-11,2-5,0-0,1,2,3,1,0,0,0,4,14,+4
B. ClarkeB. ClarkePF,12,1-2,0-0,0-0,1,4,5,2,0,1,1,1,2,-9
K. AndersonK. AndersonSF,24,5-9,1-3,2-2,1,3,4,2,0,0,0,1,13,+5
T. JonesT. JonesPG,11,0-4,0-0,0-0,0,1,1,1,0,0,2,0,0,-15
D. MeltonD. MeltonSG,19,2-6,0-2,0-0,0,0,0,1,1,0,0,1,4,+4
Z. WilliamsZ. WilliamsSG,17,2-5,0-2,0-0,0,0,0,0,0,0,0,3,4,-15
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,29,7-17,1-4,4-4,0,3,3,4,0,1,4,3,19,+10
J. ValanciunasJ. ValanciunasC,34,6-7,3-3,0-0,0,9,9,3,1,2,3,5,15,+15
D. GrahamD. GrahamPG,30,6-13,0-4,3-3,1,3,4,4,1,0,3,1,15,0
J. HartJ. HartSG,33,2-5,1-1,0-0,0,3,3,11,1,0,0,4,5,+11
N. Alexander-WalkerN. Alexander-WalkerSG,26,7-14,2-6,5-6,0,3,3,1,2,0,0,0,21,+18
G. TempleG. TempleSF,17,1-3,1-2,1-2,0,1,1,0,0,0,1,3,4,-5
H. JonesH. JonesSF,29,5-10,3-4,4-4,3,3,6,0,0,1,1,1,17,0
J. HayesJ. HayesC,14,1-2,0-0,1-2,2,0,2,1,0,2,1,3,3,-4
T. SatoranskyT. SatoranskySG,18,1-5,1-2,2-2,2,2,4,5,0,0,0,1,5,+11
T. Murphy IIIT. Murphy IIISG,10,2-3,2-3,2-2,0,2,2,0,0,0,0,1,8,-1
