BOS,CLE,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,27,4-5,3-3,0-0,1,4,5,0,0,0,2,2,11,-16
J. TatumJ. TatumSF,35,8-22,1-8,4-5,0,4,4,2,0,0,6,1,21,+12
R. Williams IIIR. Williams IIIC,34,6-7,0-0,0-0,5,11,16,3,1,3,0,2,12,+13
M. SmartM. SmartPG,34,0-5,0-2,2-2,0,4,4,8,5,0,2,1,2,+12
SchröderSchröder PG,35,10-19,2-4,6-6,0,4,4,3,0,0,4,1,28,-3
J. ParkerJ. ParkerPF,14,1-4,0-2,2-2,0,3,3,2,1,0,2,3,4,-17
HernangómezHernangómez F,5,0-1,0-0,2-2,0,0,0,0,0,0,0,2,2,+9
A. NesmithA. NesmithSF,11,2-5,0-2,0-0,1,2,3,0,0,0,0,2,4,-6
P. PritchardP. PritchardPG,15,0-5,0-2,0-0,1,1,2,2,0,0,2,1,0,-7
R. LangfordR. LangfordSG,29,2-5,0-0,1-1,2,4,6,0,0,0,1,1,5,-7
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,22,2-4,1-3,0-0,0,1,1,0,1,0,1,1,5,-13
I. OkoroI. OkoroSF,18,0-7,0-3,2-2,0,3,3,0,0,0,2,2,2,-7
J. AllenJ. AllenC,28,5-5,0-0,1-2,2,6,8,1,2,0,2,2,11,-14
E. MobleyE. MobleyC,40,8-13,1-2,2-2,1,8,9,1,2,3,0,1,19,+16
D. GarlandD. GarlandPG,36,7-15,2-8,6-6,1,3,4,6,1,0,3,2,22,-4
C. OsmanC. OsmanSF,29,3-9,2-6,1-2,1,3,4,1,2,1,1,2,9,+2
R. RubioR. RubioPG,33,4-17,2-8,6-6,1,4,5,7,1,0,1,4,16,+13
D. ValentineD. ValentineSG,23,2-9,2-7,0-0,1,0,1,0,0,0,0,1,6,+9
D. WindlerD. WindlerSG,12,0-2,0-1,1-2,2,2,4,1,1,0,1,4,1,+8
