MIN,LAC,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,14,3-5,0-0,0-0,2,2,4,1,1,1,2,3,6,-1
A. EdwardsA. EdwardsSF,34,9-22,2-6,1-2,3,8,11,3,0,0,4,1,21,-18
K. TownsK. TownsC,31,3-11,0-5,2-3,1,7,8,4,2,1,0,1,8,-11
P. BeverleyP. BeverleyPG,23,2-6,1-4,0-0,0,1,1,2,1,0,1,2,5,-6
D. RussellD. RussellPG,30,6-16,3-7,0-0,0,2,2,8,1,1,0,0,15,-16
T. PrinceT. PrincePF,7,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,-11
J. McDanielsJ. McDanielsPF,32,5-14,1-3,4-6,4,2,6,2,2,0,1,3,15,-17
J. LaymanJ. LaymanSF,5,1-3,1-1,0-0,0,1,1,0,0,0,0,1,3,0
J. OkogieJ. OkogieSF,13,2-4,1-2,0-0,1,0,1,1,0,1,1,0,5,-7
N. ReidN. ReidC,14,2-5,1-1,2-2,0,0,0,0,0,2,0,4,7,-28
M. BeasleyM. BeasleySG,24,3-9,1-5,1-2,0,4,4,1,0,0,0,0,8,-20
J. NowellJ. NowellSG,5,2-4,0-1,0-0,1,0,1,3,1,0,0,0,4,0
L. BolmaroL. BolmaroSG,5,1-2,0-1,1-1,0,1,1,0,0,0,1,0,3,0
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,19,2-5,1-4,0-0,0,3,3,1,1,1,0,1,5,-4
I. ZubacI. ZubacC,23,5-8,0-0,0-0,4,8,12,0,0,1,1,2,10,+5
R. JacksonR. JacksonPG,27,9-16,3-8,0-0,0,2,2,4,0,0,1,2,21,+10
E. BledsoeE. BledsoeSG,26,6-12,2-6,0-0,0,5,5,9,1,1,2,1,14,+16
P. GeorgeP. GeorgeSG,27,10-17,3-5,0-0,1,8,9,4,0,0,4,2,23,+17
J. WinslowJ. WinslowPF,21,3-9,1-3,0-0,2,6,8,4,2,1,2,2,7,+12
I. HartensteinI. HartensteinC,25,4-9,1-1,3-4,3,8,11,4,1,3,3,2,12,+22
T. MannT. MannSG,30,7-10,2-5,0-0,0,3,3,4,0,0,0,3,16,+30
L. KennardL. KennardSG,26,3-8,2-6,1-1,0,2,2,3,0,0,0,0,9,+32
A. CoffeyA. CoffeySG,8,0-0,0-0,3-4,1,0,1,0,1,0,1,2,3,-4
J. ScrubbJ. ScrubbSG,9,4-5,1-2,0-0,0,1,1,2,0,1,0,0,9,-1
