SA,LAL,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. EubanksD. EubanksPF,22,0-1,0-0,2-2,4,1,5,5,0,0,3,3,2,-6
D. McDermottD. McDermottSF,29,3-9,2-5,0-0,0,2,2,1,0,0,0,0,8,-7
K. JohnsonK. JohnsonSF,39,9-18,6-9,0-0,1,5,6,2,0,0,2,3,24,+10
D. WhiteD. WhitePG,29,4-10,2-7,0-0,0,3,3,5,2,0,2,3,10,-22
D. MurrayD. MurrayPG,38,9-20,2-5,2-4,1,9,10,10,3,1,3,1,22,+9
T. YoungT. YoungPF,26,8-14,0-0,1-3,4,5,9,2,1,0,1,3,17,-2
K. Bates-DiopK. Bates-DiopSF,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-6
B. ForbesB. ForbesSG,5,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0,-15
L. Walker IVL. Walker IVSG,19,1-5,0-1,2-2,0,1,1,2,2,1,1,1,4,-8
D. VassellD. VassellSG,30,6-11,4-7,3-4,1,6,7,1,1,0,2,3,19,+7
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. AnthonyC. AnthonyPF,30,5-7,2-3,3-4,0,5,5,0,0,0,1,4,15,-6
A. DavisA. DavisPF,40,14-24,2-3,4-5,5,10,15,6,1,1,1,0,34,0
R. WestbrookR. WestbrookPG,34,5-11,3-5,1-2,1,10,11,7,2,0,7,3,14,+11
A. BradleyA. BradleyPG,23,0-3,0-2,0-0,0,2,2,1,1,1,0,2,0,0
T. Horton-TuckerT. Horton-TuckerSG,27,7-14,1-5,2-2,0,4,4,1,1,1,2,2,17,+14
D. HowardD. HowardC,10,1-4,0-0,1-2,3,1,4,0,0,1,0,1,3,+2
R. RondoR. RondoPG,20,0-2,0-2,0-0,0,1,1,7,0,1,1,1,0,-1
W. EllingtonW. EllingtonSG,30,5-8,5-7,0-0,0,2,2,2,1,0,1,0,15,+12
M. MonkM. MonkSG,27,6-10,2-4,2-2,0,2,2,4,0,0,1,3,16,+8
