PHX,HOU,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,24,2-7,1-5,0-0,1,5,6,0,1,2,2,3,5,+27
M. BridgesM. BridgesSF,31,6-13,2-5,0-0,0,6,6,0,0,0,0,0,14,+17
J. McGeeJ. McGeeC,25,9-12,0-0,1-1,7,7,14,1,1,3,1,5,19,+30
C. PaulC. PaulPG,30,6-11,2-5,1-1,0,3,3,4,7,0,2,2,15,+25
D. BookerD. BookerSG,32,9-23,3-7,5-5,0,5,5,6,2,0,0,0,26,+12
F. KaminskyF. KaminskyPF,23,1-6,0-0,4-5,3,3,6,2,1,1,0,3,6,-4
A. NaderA. NaderSF,13,0-1,0-0,1-2,0,4,4,0,0,0,1,4,1,+11
C. JohnsonC. JohnsonSF,27,2-7,2-6,4-4,0,6,6,1,2,0,0,0,10,+2
C. PayneC. PaynePG,19,5-10,2-5,1-2,1,1,2,4,1,0,3,2,13,+1
L. ShametL. ShametSG,18,2-7,2-7,0-0,0,0,0,1,1,1,1,0,6,+9
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,21,0-2,0-1,0-0,2,3,5,1,0,1,0,1,0,-30
D. TheisD. TheisC,18,3-5,2-4,0-1,0,1,1,0,0,0,1,1,8,-26
C. WoodC. WoodC,27,7-12,1-5,2-4,2,6,8,1,0,0,4,2,17,-18
K. Porter Jr.K. Porter Jr.SG,32,5-15,2-7,0-0,1,5,6,6,2,0,6,1,12,-19
J. GreenJ. GreenSG,29,4-14,0-6,4-4,1,2,3,2,1,0,4,4,12,-32
U. GarubaU. GarubaPF,5,0-3,0-2,0-0,0,2,2,0,0,0,0,0,0,0
K. Martin Jr.K. Martin Jr.F,17,3-5,0-0,0-0,0,0,0,0,1,2,0,2,6,-3
D. House Jr.D. House Jr.SF,20,1-5,0-1,2-2,0,5,5,2,0,0,2,3,4,+5
D. NwabaD. NwabaSF,6,1-1,0-0,0-0,1,1,2,0,0,0,1,0,2,0
A. SengunA. SengunC,22,4-6,0-1,2-3,2,8,10,4,0,1,2,2,10,-1
E. GordonE. GordonSG,22,5-10,2-4,0-0,0,3,3,3,1,1,1,1,12,+5
A. BrooksA. BrooksSG,7,0-1,0-0,0-0,0,2,2,0,0,0,1,0,0,-2
J. ChristopherJ. ChristopherSG,15,2-6,0-1,2-4,0,1,1,0,2,0,1,2,6,-9
