POR,DEN,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,19,1-5,1-4,0-0,0,4,4,1,1,0,1,2,3,-13
N. PowellN. PowellSF,29,5-10,1-3,2-2,0,2,2,1,0,0,2,2,13,-29
J. NurkicJ. NurkicC,21,2-5,0-2,0-0,0,6,6,1,0,0,2,2,4,-11
C. McCollumC. McCollumSG,30,7-17,5-10,2-2,2,0,2,2,2,0,2,0,21,-14
A. SimonsA. SimonsSG,28,6-11,1-5,3-3,1,4,5,4,0,1,1,1,16,-14
L. Nance Jr.L. Nance Jr.PF,20,2-4,0-1,1-2,1,1,2,2,0,1,0,0,5,-9
T. WatfordT. WatfordPF,7,1-2,0-0,0-0,0,0,0,2,0,0,0,0,2,-3
T. SnellT. SnellSF,12,0-1,0-1,0-0,0,2,2,0,0,1,0,0,0,-16
N. LittleN. LittleSF,29,4-12,3-8,2-2,1,6,7,2,2,1,1,2,13,-17
C. ZellerC. ZellerC,8,3-3,0-0,0-0,1,1,2,1,0,0,0,2,6,+1
D. Smith Jr.D. Smith Jr.PG,23,1-3,0-0,2-2,0,0,0,5,3,0,2,2,4,-14
B. McLemoreB. McLemoreSG,7,2-4,2-4,0-0,1,0,1,0,0,0,1,1,6,-3
C. EllebyC. EllebySG,7,1-3,0-1,0-0,1,2,3,1,0,0,0,1,2,-3
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,24,2-5,0-2,1-2,2,3,5,1,0,1,0,0,5,+14
A. GordonA. GordonPF,29,5-12,0-1,1-1,2,1,3,1,0,0,0,0,11,+13
N. JokicN. JokicC,28,11-17,3-3,3-3,2,7,9,9,0,0,3,2,28,+9
M. MorrisM. MorrisPG,24,7-12,1-4,0-0,0,7,7,4,3,0,0,1,15,+13
A. RiversA. RiversSG,22,1-5,0-3,0-0,0,3,3,0,1,0,1,2,2,+11
Ja. GreenJa. GreenPF,18,5-6,2-2,0-0,0,1,1,1,1,0,0,3,12,+9
Z. NnajiZ. NnajiPF,18,2-7,2-3,2-4,4,6,10,0,0,0,1,1,8,+19
B. BolB. BolC,6,0-0,0-0,0-0,1,1,2,1,0,0,0,0,0,+5
F. CampazzoF. CampazzoPG,22,5-9,3-6,0-0,1,1,2,4,1,0,4,1,13,+18
M. HowardM. HowardPG,5,0-2,0-2,0-0,0,0,0,1,0,0,0,0,0,+1
B. HylandB. HylandPG,23,5-9,4-8,4-4,1,2,3,3,2,0,0,2,18,+16
P.J. DozierP.J. DozierSG,22,4-6,4-6,0-0,1,3,4,4,1,0,0,2,12,+17
