DEN,DAL,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,33,1-4,0-1,5-6,1,4,5,1,1,0,0,1,7,0
A. GordonA. GordonPF,36,6-12,2-5,0-0,1,6,7,1,0,0,1,3,14,+3
N. JokicN. JokicC,37,15-26,2-6,3-6,3,13,16,6,0,2,3,1,35,-1
M. MorrisM. MorrisPG,37,8-13,1-4,0-0,0,2,2,8,1,1,2,2,17,+6
A. RiversA. RiversSG,29,4-7,3-6,1-2,0,3,3,0,1,0,0,1,12,+4
Ja. GreenJa. GreenPF,15,0-2,0-1,2-2,3,5,8,1,0,0,1,3,2,-10
B. BolB. BolC,11,3-5,0-2,1-1,0,2,2,0,0,1,0,1,7,-9
F. CampazzoF. CampazzoPG,9,0-3,0-1,0-0,1,0,1,1,1,0,1,0,0,-11
B. HylandB. HylandPG,11,1-4,0-2,0-0,0,1,1,0,0,0,2,3,2,-16
P.J. DozierP.J. DozierSG,22,2-8,1-4,0-0,1,0,1,2,0,1,1,1,5,-16
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,24,3-4,2-3,0-0,0,4,4,0,1,0,0,3,8,+4
T. Hardaway Jr.T. Hardaway Jr.SF,33,8-14,2-6,1-1,0,7,7,4,0,0,0,2,19,+14
D. PowellD. PowellC,18,2-6,0-1,1-2,4,3,7,1,0,0,1,3,5,+1
K. PorzingisK. PorzingisC,33,11-20,5-8,2-2,5,6,11,3,2,1,2,2,29,-3
L. DoncicL. DoncicPG,38,9-23,2-7,3-5,1,7,8,11,2,1,4,3,23,+4
R. BullockR. BullockSF,30,2-5,1-3,0-0,0,3,3,2,0,0,0,2,5,+15
S. BrownS. BrownSF,8,0-1,0-1,0-0,0,0,0,1,0,0,0,1,0,-3
B. MarjanovicB. MarjanovicC,3,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2,0
W. Cauley-SteinW. Cauley-SteinC,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-1
J. BrunsonJ. BrunsonPG,36,8-12,1-4,0-0,0,2,2,6,1,0,1,2,17,+10
F. NtilikinaF. NtilikinaPG,16,1-4,1-3,0-0,0,2,2,1,1,0,0,0,3,+9
