PHX,MIN,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,29,0-9,0-5,2-5,1,5,6,1,1,0,3,4,2,-6
M. BridgesM. BridgesSF,33,2-8,0-4,3-4,1,3,4,1,1,0,1,2,7,+1
D. AytonD. AytonC,33,10-14,0-0,2-3,7,5,12,1,0,0,2,5,22,-5
C. PaulC. PaulPG,34,6-14,2-5,7-7,0,3,3,8,1,0,3,1,21,-13
D. BookerD. BookerSG,34,7-16,2-4,13-15,2,3,5,5,2,0,1,5,29,+8
F. KaminskyF. KaminskyPF,4,1-2,0-0,1-2,1,2,3,0,0,0,0,0,3,-1
A. NaderA. NaderSF,9,0-1,0-1,0-0,0,2,2,1,1,0,1,0,0,-3
C. JohnsonC. JohnsonSF,22,3-9,1-6,0-0,0,4,4,1,1,0,2,2,7,+8
J. McGeeJ. McGeeC,11,1-3,0-0,0-0,2,5,7,1,0,2,2,1,2,+10
C. PayneC. PaynePG,14,0-3,0-2,0-0,0,3,3,2,0,0,0,2,0,+16
L. ShametL. ShametSG,18,2-6,2-4,0-0,0,3,3,0,1,0,0,1,6,0
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,24,2-4,0-0,0-0,3,4,7,0,1,0,2,5,4,+3
A. EdwardsA. EdwardsSF,39,2-11,1-6,4-6,3,9,12,6,1,3,6,5,9,-5
K. TownsK. TownsC,40,10-19,5-9,10-11,2,11,13,2,1,0,7,5,35,-3
P. BeverleyP. BeverleyPG,34,4-8,2-5,0-1,2,5,7,1,0,0,1,4,10,-5
D. RussellD. RussellPG,35,7-21,1-10,7-7,0,2,2,4,2,0,0,4,22,0
J. McDanielsJ. McDanielsPF,30,2-5,0-2,0-0,3,0,3,2,0,0,0,5,4,+2
J. OkogieJ. OkogieSF,14,0-3,0-1,0-2,0,2,2,0,1,0,2,0,0,-3
M. BeasleyM. BeasleySG,24,4-14,4-11,0-0,0,8,8,3,2,0,0,0,12,-4
