MIA,OKC,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,31,2-6,2-4,0-0,1,5,6,0,3,1,0,0,6,+7
D. DedmonD. DedmonC,29,3-6,1-1,1-2,1,6,7,0,1,3,1,2,8,+28
K. LowryK. LowryPG,33,4-9,1-3,2-2,1,2,3,11,0,0,3,1,11,+3
T. HerroT. HerroPG,37,9-18,5-8,3-3,0,7,7,6,2,0,6,2,26,+28
D. RobinsonD. RobinsonSG,32,8-15,5-12,0-0,0,3,3,1,1,0,2,1,21,+7
C. MartinC. MartinSF,17,1-3,0-2,3-4,0,2,2,0,2,0,2,2,5,+7
K. OkpalaK. OkpalaSF,15,3-9,0-3,2-2,3,4,7,1,1,0,0,1,8,-4
O. YurtsevenO. YurtsevenC,5,0-1,0-0,0-0,0,0,0,0,0,1,2,1,0,-14
G. VincentG. VincentPG,20,2-5,1-2,0-0,1,3,4,3,1,0,1,2,5,+12
M. StrusM. StrusSG,22,5-10,3-5,0-0,1,5,6,0,0,0,0,1,13,-9
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,25,2-7,2-2,1-2,1,6,7,1,1,5,0,1,7,-10
J. Robinson-EarlJ. Robinson-EarlPF,26,6-11,4-6,0-0,1,4,5,2,0,1,2,0,16,-3
L. DortL. DortSF,31,8-16,4-8,0-0,1,3,4,3,1,0,3,2,20,-8
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,35,2-11,1-5,5-6,1,2,3,5,1,0,3,3,10,-5
J. GiddeyJ. GiddeySG,32,3-10,0-5,0-0,2,7,9,9,1,2,4,1,6,-4
I. RobyI. RobyF,11,2-3,0-0,0-0,0,2,2,2,0,1,0,0,4,-5
K. WilliamsK. WilliamsSF,17,2-4,0-1,1-2,0,2,2,3,1,0,2,1,5,-12
M. MuscalaM. MuscalaC,8,1-4,0-3,0-0,1,3,4,0,0,0,1,1,2,-12
A. PokusevskiA. PokusevskiC,16,5-6,1-2,0-0,1,1,2,1,0,0,1,1,11,+2
T. MannT. MannPG,7,0-3,0-1,0-0,1,1,2,0,0,0,0,3,0,+1
T. JeromeT. JeromeSG,12,1-4,1-4,0-0,0,0,0,0,0,1,0,0,3,-11
A. WigginsA. WigginsSG,20,2-4,2-4,0-0,0,2,2,0,1,0,4,2,6,+2
