CHI,LAL,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,35,15-23,2-5,6-6,0,3,3,6,1,1,3,2,38,+17
T. BradleyT. BradleyC,27,3-5,0-0,0-0,1,8,9,1,0,0,3,2,6,+17
L. BallL. BallPG,38,10-13,7-10,0-0,2,5,7,8,2,0,4,2,27,+25
A. CarusoA. CarusoSG,34,0-1,0-1,0-0,0,6,6,5,2,0,1,4,0,+28
Z. LaVineZ. LaVineSG,34,10-22,6-13,0-0,1,4,5,5,0,0,2,2,26,+33
A. JohnsonA. JohnsonF,3,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,-8
J. GreenJ. GreenSF,14,1-3,0-1,0-0,0,1,1,0,2,0,1,0,2,+4
D. Jones Jr.D. Jones Jr.SF,16,6-7,0-0,1-3,0,3,3,2,1,1,1,5,13,+9
T. Brown Jr.T. Brown Jr.SF,3,2-3,0-1,0-0,0,0,0,0,1,0,0,0,4,-8
C. WhiteC. WhitePG,11,0-2,0-0,0-0,0,1,1,0,0,0,0,0,0,-15
M. ThomasM. ThomasSG,3,0-3,0-1,0-0,0,0,0,0,0,0,0,0,0,-8
A. DosunmuA. DosunmuSG,21,2-7,0-2,1-2,0,1,1,2,0,0,1,4,5,-4
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. AnthonyC. AnthonyPF,27,4-10,0-4,1-2,1,3,4,1,2,0,0,2,9,-21
A. DavisA. DavisPF,28,6-9,0-0,8-9,1,5,6,1,1,0,4,1,20,-22
R. WestbrookR. WestbrookPG,31,8-19,0-6,9-10,0,6,6,8,1,0,4,3,25,-13
A. BradleyA. BradleyPG,18,1-3,1-3,0-0,1,0,1,3,0,0,0,0,3,-27
T. Horton-TuckerT. Horton-TuckerSG,37,9-19,4-9,6-6,0,6,6,2,1,0,1,2,28,-5
K. BazemoreK. BazemoreSF,12,1-1,0-0,0-0,0,1,1,0,1,0,0,5,2,+1
D. HowardD. HowardC,13,2-3,0-0,1-4,4,2,6,0,2,2,2,0,5,-1
D. JordanD. JordanC,7,2-2,0-0,0-0,0,5,5,1,0,2,2,1,4,+5
R. RondoR. RondoPG,18,1-2,0-1,0-0,0,2,2,0,1,1,2,1,2,-3
W. EllingtonW. EllingtonSG,21,1-6,1-6,0-0,0,3,3,0,1,0,0,0,3,-4
M. MonkM. MonkSG,27,1-5,0-3,0-0,1,2,3,3,0,0,2,0,2,0
