GS,BKN,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,29,5-6,1-2,0-0,0,6,6,8,1,0,3,3,11,+17
A. WigginsA. WigginsSF,22,7-11,2-3,3-3,0,2,2,1,0,1,3,4,19,+10
K. LooneyK. LooneyC,15,1-2,0-0,2-2,1,3,4,0,0,2,0,3,4,+11
S. CurryS. CurryPG,29,12-19,9-14,4-4,0,7,7,5,2,1,2,4,37,+16
J. PooleJ. PooleSG,28,6-13,0-7,5-6,0,4,4,4,0,1,5,5,17,+4
N. BjelicaN. BjelicaPF,12,0-3,0-2,0-0,0,2,2,1,0,0,0,1,0,-12
J. KumingaJ. KumingaPF,19,3-6,0-2,1-2,2,4,6,1,0,1,3,4,7,+5
A. IguodalaA. IguodalaF,19,2-4,1-2,0-0,2,2,4,2,0,1,1,0,5,+10
O. Porter Jr.O. Porter Jr.SF,17,2-6,0-3,2-2,3,3,6,0,0,0,1,0,6,+14
J. Toscano-AndersonJ. Toscano-AndersonSF,5,0-0,0-0,0-0,0,1,1,0,0,0,2,0,0,-8
D. LeeD. LeeSG,22,1-4,0-2,3-5,0,6,6,1,0,0,1,1,5,+21
G. Payton IIG. Payton IISG,16,2-2,0-0,2-4,1,4,5,2,1,0,0,2,6,+14
M. MoodyM. MoodySG,8,0-3,0-3,0-0,0,0,0,0,0,1,0,0,0,-12
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,32,6-19,2-6,5-6,1,4,5,3,0,0,2,1,19,-24
B. GriffinB. GriffinPF,23,0-4,0-2,4-4,0,2,2,1,1,0,0,3,4,-8
B. BrownB. BrownSF,27,6-8,1-1,1-2,2,3,5,3,3,0,0,4,14,-16
P. MillsP. MillsPG,32,3-8,2-5,0-0,0,2,2,4,1,0,0,2,8,-14
J. HardenJ. HardenSG,32,6-13,2-6,10-11,0,4,4,4,0,0,5,3,24,-22
J. JohnsonJ. JohnsonPF,5,0-1,0-0,0-0,0,1,1,0,0,0,0,1,0,+1
K. EdwardsK. EdwardsSF,9,3-6,2-4,0-0,1,2,3,0,0,0,1,0,8,+9
L. AldridgeL. AldridgeC,9,1-3,0-1,0-0,0,1,1,1,1,0,0,0,2,-14
D. SharpeD. SharpeC,9,2-5,0-1,0-0,2,5,7,0,0,1,3,1,4,+9
J. CarterJ. CarterPG,16,1-4,1-4,0-0,0,1,1,1,2,0,0,3,3,+4
D. BembryD. BembrySG,31,4-8,0-1,1-4,2,3,5,1,2,1,0,4,9,-16
C. ThomasC. ThomasSG,15,2-9,0-5,0-0,1,1,2,3,2,0,0,1,4,+1
