WSH,CHA,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,30,2-12,1-8,0-0,1,4,5,3,1,2,1,1,5,-14
D. GaffordD. GaffordC,24,9-12,0-0,2-5,2,7,9,1,2,1,1,4,20,-2
S. DinwiddieS. DinwiddiePG,29,0-5,0-4,0-0,0,3,3,2,0,0,2,1,0,-5
B. BealB. BealSG,35,9-20,5-11,1-1,0,3,3,7,2,0,2,3,24,-9
K. Caldwell-PopeK. Caldwell-PopeSG,28,1-6,0-5,1-1,1,5,6,2,1,0,1,0,3,+2
A. GillA. GillPF,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
I. ToddI. ToddPF,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
C. KispertC. KispertSF,11,2-4,0-2,2-2,0,1,1,1,0,0,0,0,6,-1
D. AvdijaD. AvdijaSF,25,2-9,1-7,4-4,2,9,11,0,0,1,0,1,9,-10
M. HarrellM. HarrellC,22,6-9,0-0,3-3,5,4,9,2,0,1,0,0,15,-11
R. NetoR. NetoPG,18,1-6,0-2,0-0,0,0,0,3,0,0,3,2,2,-8
A. HolidayA. HolidayPG,13,1-6,1-3,0-0,0,0,0,1,1,0,0,0,3,-1
J. AyayiJ. AyayiG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,+3
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,25,4-14,0-3,0-0,0,6,6,1,0,0,0,2,8,-7
M. BridgesM. BridgesSF,37,8-15,1-4,0-1,1,9,10,5,0,1,4,1,17,+15
M. PlumleeM. PlumleeC,26,5-7,0-0,1-2,8,5,13,2,1,0,0,2,11,-4
L. BallL. BallPG,36,4-18,2-7,1-1,2,4,6,14,2,0,5,3,11,+19
T. RozierT. RozierSG,33,9-19,1-7,0-0,1,7,8,4,1,1,1,2,19,-4
J. McDanielsJ. McDanielsPF,17,4-5,3-3,0-0,0,6,6,1,0,0,0,1,11,+8
K. JonesK. JonesPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
C. MartinC. MartinSF,27,0-4,0-1,0-0,2,3,5,2,1,2,0,0,0,+20
N. RichardsN. RichardsC,14,3-4,0-0,0-0,1,1,2,0,0,2,1,4,6,-1
K. Oubre Jr.K. Oubre Jr.SG,24,5-10,3-7,1-2,1,2,3,1,1,2,0,1,14,+10
J. BouknightJ. BouknightSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
