BOS,ATL,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,30,6-12,3-8,3-3,2,4,6,0,0,0,0,4,18,-13
J. TatumJ. TatumSF,38,12-22,5-12,5-6,3,6,9,5,1,1,4,2,34,-7
A. HorfordA. HorfordC,33,5-9,1-4,2-4,2,5,7,2,2,1,2,1,13,-10
M. SmartM. SmartPG,35,3-10,0-4,2-2,1,2,3,11,2,0,2,1,8,-4
SchröderSchröder PG,32,6-12,1-4,2-2,0,1,1,3,3,0,3,4,15,-10
HernangómezHernangómez F,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
B. FernandoB. FernandoF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
A. NesmithA. NesmithSF,11,0-2,0-2,0-0,0,4,4,0,0,0,0,1,0,-1
KanterKanter C,14,0-3,0-0,0-0,4,1,5,1,0,0,0,2,0,-1
P. PritchardP. PritchardPG,2,0-2,0-2,0-0,0,0,0,0,0,0,1,0,0,0
J. RichardsonJ. RichardsonSG,27,5-10,1-4,0-0,0,2,2,2,1,0,1,2,11,-4
R. LangfordR. LangfordSG,14,0-2,0-1,0-0,0,5,5,0,0,0,1,0,0,-5
B. ThomasB. ThomasG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,34,9-13,1-1,1-2,1,10,11,1,2,1,1,4,20,+12
C. CapelaC. CapelaC,32,4-7,0-1,1-2,2,10,12,3,1,1,1,0,9,+11
T. YoungT. YoungPG,35,4-12,0-6,10-10,0,0,0,11,1,0,6,2,18,+9
B. BogdanovicB. BogdanovicSG,32,4-12,4-10,0-0,0,1,1,6,0,0,0,2,12,+8
K. HuerterK. HuerterSG,32,7-9,5-7,0-0,0,5,5,2,1,0,0,3,19,+7
D. GallinariD. GallinariPF,20,3-6,1-4,1-2,0,4,4,0,0,0,0,3,8,+5
C. ReddishC. ReddishSF,27,8-14,1-6,2-2,1,1,2,1,3,1,1,1,19,-1
G. DiengG. DiengC,2,0-0,0-0,0-0,0,0,0,0,0,1,0,1,0,+2
L. WilliamsL. WilliamsSG,13,1-5,0-0,0-0,0,1,1,3,0,0,2,1,2,+2
D. WrightD. WrightSG,13,1-3,1-2,0-0,2,2,4,1,1,0,0,0,3,+2
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
