CLE,BKN,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,38,3-8,2-6,3-4,2,3,5,2,2,0,0,3,11,+4
I. OkoroI. OkoroSF,39,3-11,0-2,2-2,4,2,6,2,1,0,2,3,8,-9
E. DavisE. DavisC,24,3-6,0-0,0-0,2,9,11,0,1,1,0,3,6,-6
R. RubioR. RubioPG,33,8-17,3-10,6-6,0,4,4,5,0,0,5,2,25,-4
D. GarlandD. GarlandPG,40,10-26,3-13,1-1,1,4,5,6,3,0,3,0,24,-11
K. LoveK. LovePF,21,4-10,1-5,2-2,1,8,9,2,0,0,2,1,11,-5
C. OsmanC. OsmanSF,19,3-8,2-6,3-4,1,3,4,1,1,0,0,2,11,0
T. FallT. FallC,3,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,+1
D. ValentineD. ValentineSG,11,1-3,0-2,0-0,1,1,2,1,1,0,1,2,2,-6
D. WindlerD. WindlerSG,12,0-0,0-0,0-0,0,4,4,1,0,0,0,1,0,-14
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,37,9-16,2-3,3-3,0,4,4,3,0,0,1,0,23,-5
B. GriffinB. GriffinPF,18,1-5,0-2,0-0,1,4,5,5,1,1,1,0,2,+6
B. BrownB. BrownSF,28,3-6,0-0,2-3,2,8,10,5,2,0,0,3,8,+3
P. MillsP. MillsPG,35,7-14,6-12,1-1,1,1,2,1,1,0,1,2,21,+19
J. HardenJ. HardenSG,37,6-12,3-6,12-12,0,10,10,7,2,1,6,1,27,+5
J. JohnsonJ. JohnsonPF,23,0-3,0-0,0-2,1,8,9,4,1,0,1,5,0,+16
L. AldridgeL. AldridgeC,30,11-19,0-2,2-2,3,4,7,2,0,1,1,2,24,+4
J. CarterJ. CarterPG,13,1-6,1-6,1-2,0,0,0,1,0,0,0,4,4,0
D. BembryD. BembrySG,18,0-2,0-1,0-0,0,0,0,1,0,0,0,3,0,+2
