LAL,MIL,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. AnthonyC. AnthonyPF,32,4-10,2-8,0-0,0,6,6,1,1,0,2,2,10,+1
A. DavisA. DavisPF,37,9-15,0-1,0-0,2,7,9,4,0,2,1,4,18,+5
R. WestbrookR. WestbrookPG,36,7-16,2-5,3-4,1,3,4,15,1,0,3,3,19,+3
A. BradleyA. BradleyPG,17,2-6,1-3,0-0,0,1,1,0,1,0,1,1,5,-6
T. Horton-TuckerT. Horton-TuckerSG,39,9-18,3-6,4-4,4,8,12,3,2,1,3,5,25,+3
K. BazemoreK. BazemoreSF,11,0-5,0-3,0-0,1,2,3,0,1,0,1,0,0,-5
D. HowardD. HowardC,8,1-2,0-0,1-2,0,2,2,0,1,1,0,1,3,-11
D. JordanD. JordanC,5,0-2,0-0,0-0,2,2,4,0,0,0,0,0,0,-5
R. RondoR. RondoPG,12,3-5,2-3,0-0,1,1,2,0,0,0,1,2,8,-10
W. EllingtonW. EllingtonSG,20,1-7,1-7,0-0,0,3,3,0,0,0,0,0,3,-1
M. MonkM. MonkSG,24,4-10,1-7,2-2,0,2,2,1,1,0,1,1,11,-9
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,36,18-23,3-4,8-11,2,7,9,3,1,1,4,1,47,+1
K. MiddletonK. MiddletonSF,30,4-12,2-6,6-7,0,5,5,6,0,1,0,2,16,+13
B. PortisB. PortisC,29,8-14,1-5,0-1,3,2,5,2,1,1,3,1,17,+7
J. HolidayJ. HolidayPG,39,3-13,1-6,1-2,0,6,6,8,4,0,5,3,8,-4
G. AllenG. AllenSG,31,2-6,1-5,0-0,1,7,8,1,0,0,0,1,5,-13
S. OjeleyeS. OjeleyePF,14,0-7,0-2,0-0,2,2,4,0,0,0,0,1,0,-1
J. NworaJ. NworaSF,8,0-1,0-0,0-0,0,2,2,0,2,0,1,0,0,+5
G. HillG. HillPG,22,0-1,0-1,0-0,0,9,9,2,0,0,2,1,0,+23
P. ConnaughtonP. ConnaughtonSG,32,5-10,4-8,2-3,1,3,4,0,1,1,0,0,16,+4
