WSH,MIA,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,40,7-12,4-9,1-2,0,13,13,7,1,0,3,2,19,-12
M. HarrellM. HarrellC,36,6-9,0-0,0-0,3,6,9,2,0,0,0,2,12,-8
A. HolidayA. HolidayPG,29,2-7,0-1,0-0,0,0,0,5,1,0,4,3,4,-9
B. BealB. BealSG,36,11-18,3-8,5-6,0,6,6,5,1,0,6,1,30,-9
K. Caldwell-PopeK. Caldwell-PopeSG,30,3-7,2-6,0-0,0,1,1,2,1,0,3,4,8,-13
A. GillA. GillPF,9,1-3,0-0,0-0,1,1,2,1,0,1,0,2,2,-9
I. ToddI. ToddPF,1,1-2,1-1,0-0,0,0,0,0,0,1,0,0,3,+1
C. KispertC. KispertSF,24,5-10,3-7,0-0,1,3,4,0,0,0,0,1,13,-6
D. AvdijaD. AvdijaSF,20,2-6,2-3,0-0,0,1,1,1,0,1,1,0,6,-9
R. NetoR. NetoPG,13,0-3,0-1,0-2,0,0,0,1,0,0,0,4,0,-2
J. AyayiJ. AyayiG,1,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,+1
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,32,6-7,3-3,0-0,1,4,5,2,1,0,0,3,15,+7
J. ButlerJ. ButlerSF,34,11-19,0-1,10-10,1,2,3,5,4,0,1,0,32,+11
B. AdebayoB. AdebayoC,30,9-16,0-0,2-2,4,5,9,2,0,0,2,4,20,+16
K. LowryK. LowryPG,35,3-8,1-5,1-2,0,5,5,12,1,0,2,1,8,+13
D. RobinsonD. RobinsonSG,27,2-9,2-8,0-0,0,3,3,0,2,0,0,2,6,+5
C. MartinC. MartinSF,24,3-7,1-2,0-0,0,5,5,0,1,1,0,0,7,+3
K. OkpalaK. OkpalaSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
D. DedmonD. DedmonC,9,0-1,0-0,1-2,0,4,4,1,0,0,0,1,1,+5
O. YurtsevenO. YurtsevenC,1,0-0,0-0,2-2,0,0,0,0,0,0,0,0,2,-1
G. VincentG. VincentPG,25,6-12,3-6,3-4,1,1,2,3,0,0,1,1,18,+7
M. StrusM. StrusSG,20,1-3,0-1,1-2,0,4,4,2,1,0,0,1,3,+11
M. GarrettM. GarrettSG,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
