PHI,DEN,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,31,8-18,1-3,0-2,0,7,7,2,1,1,0,1,17,+7
G. NiangG. NiangSF,35,4-8,3-6,0-0,0,5,5,3,0,1,2,3,11,+11
A. DrummondA. DrummondC,29,2-5,0-0,0-1,0,6,6,1,0,0,1,5,4,-6
T. MaxeyT. MaxeyPG,35,9-15,2-3,2-4,0,5,5,4,1,1,0,0,22,+2
S. CurryS. CurrySG,38,8-17,2-8,2-2,2,4,6,5,1,0,2,3,20,+13
C. BasseyC. BasseyC,19,5-7,0-1,2-3,4,3,7,0,1,3,0,3,12,+20
S. MiltonS. MiltonSG,29,5-8,2-4,0-0,0,5,5,4,0,1,2,2,12,+18
F. KorkmazF. KorkmazSG,22,2-5,1-2,0-0,0,4,4,3,1,0,2,1,5,+10
I. JoeI. JoeSG,3,0-2,0-2,0-0,0,0,0,0,0,0,0,0,0,-5
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,23,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
A. GordonA. GordonPF,31,4-13,1-4,0-0,3,1,4,1,0,1,1,1,9,-2
W. BartonW. BartonSF,34,7-14,4-6,1-1,1,8,9,8,0,0,2,1,19,-3
N. JokicN. JokicC,35,10-17,3-4,7-9,1,9,10,7,0,1,1,3,30,-5
M. MorrisM. MorrisPG,32,5-13,1-3,0-0,0,3,3,4,2,0,1,4,11,-1
Ja. GreenJa. GreenPF,9,2-4,1-3,1-2,1,1,2,0,1,0,1,1,6,-8
P. CornelieP. CornelieF,4,0-1,0-1,0-0,1,1,2,1,0,0,0,1,0,+4
B. BolB. BolC,4,1-2,0-0,0-0,0,3,3,0,0,1,0,0,2,+4
F. CampazzoF. CampazzoPG,8,0-3,0-3,2-2,0,3,3,1,0,0,0,0,2,-9
M. HowardM. HowardPG,9,1-3,1-2,0-0,0,1,1,0,1,0,0,0,3,+3
B. HylandB. HylandPG,14,0-7,0-5,2-2,0,3,3,0,0,1,2,1,2,-21
A. RiversA. RiversSG,20,2-8,1-4,0-0,2,1,3,0,2,0,0,1,5,-7
P.J. DozierP.J. DozierSG,16,0-4,0-1,0-0,1,1,2,0,0,0,2,1,0,-24
