GS,DET,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. WigginsA. WigginsSF,37,9-19,1-4,8-11,1,4,5,1,2,1,4,1,27,+6
J. Toscano-AndersonJ. Toscano-AndersonSF,37,1-6,0-2,0-0,1,5,6,9,1,1,1,3,2,+2
K. LooneyK. LooneyC,27,1-6,0-0,0-0,4,8,12,2,0,1,2,4,2,+6
G. Payton IIG. Payton IISG,29,4-5,3-4,1-2,2,1,3,0,2,1,0,2,12,+18
J. PooleJ. PooleSG,37,13-22,4-8,2-2,1,6,7,2,0,0,4,4,32,+18
N. BjelicaN. BjelicaPF,21,5-8,2-5,2-2,2,6,8,2,1,0,4,1,14,-3
J. KumingaJ. KumingaPF,12,1-6,0-2,4-4,2,1,3,2,1,0,0,2,6,+1
D. LeeD. LeeSG,16,0-2,0-1,0-0,0,1,1,1,0,0,2,3,0,-11
M. MoodyM. MoodySG,8,2-3,0-1,0-0,1,1,2,0,0,0,0,0,4,-9
C. ChiozzaC. ChiozzaG,16,2-3,2-3,0-0,0,1,1,3,1,0,1,3,6,-13
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,34,6-17,3-10,4-6,0,4,4,2,2,3,2,3,19,-11
S. BeyS. BeySF,36,3-14,1-6,0-0,4,1,5,3,0,1,2,2,7,-10
I. StewartI. StewartC,16,1-2,0-0,0-0,2,2,4,0,0,0,1,0,2,-2
C. CunninghamC. CunninghamPG,36,6-12,3-8,4-4,1,5,6,6,3,2,2,2,19,-4
K. HayesK. HayesPG,18,1-4,1-2,0-0,0,4,4,1,1,0,1,5,3,-11
T. LylesT. LylesPF,17,1-3,0-1,2-4,0,3,3,2,0,0,1,2,4,+1
L. GarzaL. GarzaC,7,1-3,1-2,0-0,0,0,0,1,0,0,0,1,3,-8
C. JosephC. JosephPG,30,2-5,0-1,4-5,1,1,2,5,2,0,3,2,8,+8
F. JacksonF. JacksonPG,33,8-15,5-12,6-6,0,2,2,0,3,0,0,1,27,+20
H. DialloH. DialloSG,13,3-5,0-0,4-5,3,2,5,1,0,1,0,4,10,+2
