ORL,BKN,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,29,5-13,2-6,5-6,1,1,2,5,1,1,1,6,17,-5
W. Carter Jr.W. Carter Jr.C,27,0-5,0-4,1-2,2,7,9,3,0,1,3,3,1,-13
M. BambaM. BambaC,35,6-9,0-2,0-0,2,8,10,1,1,3,2,3,12,-1
C. AnthonyC. AnthonyPG,32,6-17,1-5,3-4,0,5,5,9,0,0,1,3,16,-13
J. SuggsJ. SuggsSG,32,8-18,4-9,1-2,2,2,4,3,2,1,2,3,21,-4
C. OkekeC. OkekePF,20,6-8,2-2,3-4,1,2,3,1,1,0,1,0,17,+10
M. WagnerM. WagnerC,4,1-3,0-2,0-0,1,1,2,0,0,0,0,1,2,0
R.J. HamptonR.J. HamptonPG,10,3-3,1-1,0-0,0,4,4,0,1,0,3,0,7,+1
T. RossT. RossSG,34,3-9,3-6,6-7,0,3,3,4,1,0,0,2,15,+4
G. HarrisG. HarrisSG,18,2-4,1-1,0-0,2,1,3,0,0,0,0,4,5,+11
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. GriffinB. GriffinPF,25,3-7,0-1,0-0,2,4,6,1,2,3,0,3,6,+15
B. BrownB. BrownSF,17,2-5,0-1,2-2,1,2,3,1,0,1,1,2,6,-16
P. MillsP. MillsPG,34,9-13,4-8,0-0,1,1,2,3,1,1,1,0,22,+7
J. HardenJ. HardenSG,41,7-25,3-13,19-20,1,9,10,8,3,2,6,4,36,+10
D. BembryD. BembrySG,41,3-7,0-2,1-2,0,3,3,1,0,2,1,2,7,+8
J. JohnsonJ. JohnsonPF,26,8-11,1-2,0-0,3,7,10,4,0,1,1,5,17,+7
L. AldridgeL. AldridgeC,23,7-16,0-0,1-1,4,1,5,0,0,2,1,0,15,-10
J. CarterJ. CarterPG,23,2-6,2-6,0-0,2,2,4,1,0,1,0,3,6,-6
C. ThomasC. ThomasSG,10,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
