CHI,DEN,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,36,7-21,0-2,12-12,0,6,6,4,2,0,0,1,26,-4
T. BradleyT. BradleyC,15,3-3,0-0,2-2,3,2,5,2,0,0,2,3,8,-5
L. BallL. BallPG,38,3-9,1-6,0-0,0,3,3,6,1,0,1,1,7,+6
A. CarusoA. CarusoSG,34,1-8,0-5,2-2,1,3,4,2,1,1,0,3,4,-7
Z. LaVineZ. LaVineSG,37,14-24,4-9,4-4,0,5,5,4,1,0,2,1,36,+9
J. GreenJ. GreenSF,22,1-3,1-1,2-2,6,3,9,1,1,1,2,4,5,+20
D. Jones Jr.D. Jones Jr.SF,24,7-10,0-1,2-2,3,5,8,0,0,1,1,4,16,+9
C. WhiteC. WhitePG,11,1-7,0-3,0-0,0,2,2,0,0,0,2,1,2,-4
A. DosunmuA. DosunmuSG,23,4-8,2-4,0-0,4,4,8,0,1,0,1,2,10,+6
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,29,3-10,1-4,2-2,1,3,4,4,1,0,3,4,9,-9
A. GordonA. GordonPF,37,10-12,1-2,7-9,2,7,9,4,0,2,0,0,28,-7
W. BartonW. BartonSF,34,9-16,3-8,2-3,0,4,4,3,0,1,2,1,23,+4
M. MorrisM. MorrisPG,28,3-10,0-3,0-0,0,3,3,5,1,0,0,2,6,-6
A. RiversA. RiversSG,33,3-5,2-4,1-2,0,2,2,1,0,0,1,3,9,-1
Ja. GreenJa. GreenPF,11,1-6,0-3,0-0,1,1,2,1,1,1,2,2,2,+1
F. CampazzoF. CampazzoPG,27,5-9,4-5,2-2,1,1,2,4,2,0,1,3,16,-2
B. HylandB. HylandPG,19,2-7,2-5,0-0,0,2,2,0,0,0,0,3,6,-5
P.J. DozierP.J. DozierSG,22,3-7,1-3,2-2,2,8,10,2,0,1,2,4,9,-5
