HOU,NY,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,31,5-12,1-5,0-0,3,7,10,3,1,2,3,5,11,-18
D. TheisD. TheisC,23,1-6,0-4,0-0,1,4,5,1,0,1,2,2,2,-19
C. WoodC. WoodC,37,6-11,1-3,5-7,1,11,12,3,0,2,6,4,18,-1
E. GordonE. GordonSG,37,5-17,2-9,3-6,0,3,3,5,0,2,4,2,15,-10
J. GreenJ. GreenSG,36,7-11,2-5,0-1,2,0,2,2,0,0,3,1,16,-10
K. Martin Jr.K. Martin Jr.F,21,5-6,0-1,0-1,0,3,3,1,2,1,1,1,10,+10
D. House Jr.D. House Jr.SF,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-5
A. SengunA. SengunC,24,4-8,1-1,1-2,2,4,6,3,0,0,0,3,10,+7
D.J. AugustinD.J. AugustinPG,11,2-5,1-4,4-5,1,0,1,2,2,0,2,0,9,+3
G. MathewsG. MathewsSG,15,3-8,2-7,0-0,3,2,5,1,0,0,0,2,8,+5
A. BrooksA. BrooksSG,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,33,4-15,2-6,6-8,2,8,10,9,0,0,2,2,16,+2
M. RobinsonM. RobinsonC,18,3-4,0-0,0-0,1,4,5,0,1,2,0,3,6,+5
K. WalkerK. WalkerPG,21,3-7,2-4,1-2,0,2,2,3,2,0,1,2,9,+5
E. FournierE. FournierSG,30,7-13,5-10,0-0,0,2,2,2,1,0,1,2,19,+7
R. BarrettR. BarrettSG,25,4-13,1-5,2-2,0,1,1,2,2,0,0,1,11,-2
O. ToppinO. ToppinPF,15,1-3,0-2,4-4,0,4,4,1,0,0,3,2,6,+5
N. NoelN. NoelC,29,0-2,0-1,2-2,1,5,6,1,0,3,3,5,2,+6
D. RoseD. RosePG,21,2-8,0-2,0-0,0,1,1,4,1,2,1,1,4,-5
A. BurksA. BurksSG,25,6-8,6-7,2-2,0,5,5,3,5,0,0,1,20,+1
I. QuickleyI. QuickleySG,21,3-5,2-4,5-6,0,1,1,0,0,0,1,4,13,+11
