CHA,ATL,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,35,4-9,1-5,2-2,2,6,8,4,2,1,2,1,11,-11
M. BridgesM. BridgesSF,38,15-28,2-9,3-5,4,6,10,3,0,0,1,5,35,-11
M. PlumleeM. PlumleeC,20,3-5,0-0,1-4,2,0,2,1,1,0,2,2,7,-16
L. BallL. BallPG,34,5-18,3-7,2-2,3,6,9,11,2,1,1,2,15,-7
T. RozierT. RozierSG,30,4-13,1-5,1-2,3,1,4,4,0,0,1,3,10,-13
J. McDanielsJ. McDanielsPF,18,1-3,1-3,0-0,1,2,3,1,0,0,3,4,3,+1
C. MartinC. MartinSF,31,6-11,2-4,0-0,3,5,8,0,1,0,0,3,14,+9
I. SmithI. SmithPG,7,1-1,0-0,0-0,0,0,0,1,0,0,0,0,2,+3
K. Oubre Jr.K. Oubre Jr.SG,27,4-14,0-7,0-0,2,5,7,1,0,0,0,2,8,-5
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,33,7-10,0-2,1-2,0,8,8,3,0,3,1,5,15,+3
C. CapelaC. CapelaC,24,10-11,0-0,0-0,6,9,15,1,0,2,1,5,20,+11
T. YoungT. YoungPG,34,5-15,2-7,7-7,1,3,4,9,1,0,4,1,19,+1
B. BogdanovicB. BogdanovicSG,24,3-9,1-5,0-0,0,1,1,2,0,0,0,1,7,0
K. HuerterK. HuerterSG,34,6-10,4-7,1-2,0,2,2,4,0,0,1,1,17,+5
D. GallinariD. GallinariPF,32,3-7,2-4,8-8,0,6,6,2,3,1,1,2,16,+8
C. ReddishC. ReddishSF,27,7-13,3-6,0-2,1,5,6,0,0,0,2,4,17,+5
G. DiengG. DiengC,7,0-1,0-1,0-0,0,0,0,0,0,0,1,1,0,-2
L. WilliamsL. WilliamsSG,12,2-5,0-2,0-0,0,2,2,2,0,0,0,2,4,+10
D. WrightD. WrightSG,14,0-1,0-0,0-0,0,2,2,1,2,0,1,0,0,+9
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
