PHI,POR,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,36,11-21,2-4,4-5,0,8,8,3,0,0,5,1,28,+3
G. NiangG. NiangSF,35,6-11,3-6,0-0,0,4,4,2,0,1,0,5,15,-3
A. DrummondA. DrummondC,23,3-3,0-0,0-0,0,4,4,3,1,1,0,4,6,-8
T. MaxeyT. MaxeyPG,35,9-17,1-4,9-9,0,3,3,9,2,0,0,3,28,-4
S. CurryS. CurrySG,33,3-10,2-6,2-3,1,1,2,3,1,0,3,5,10,-6
C. BasseyC. BasseyC,14,2-2,0-0,2-2,0,6,6,0,0,1,0,2,6,-6
M. ThybulleM. ThybulleSG,21,3-5,1-2,2-2,1,0,1,0,1,1,1,3,9,-6
S. MiltonS. MiltonSG,16,3-7,0-1,0-0,1,2,3,2,0,0,1,0,6,-6
F. KorkmazF. KorkmazSG,21,0-4,0-4,0-0,0,1,1,1,2,0,1,1,0,-4
I. JoeI. JoeSG,5,1-1,1-1,0-0,0,0,0,1,0,0,0,0,3,+5
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,29,2-4,2-3,0-0,0,6,6,3,0,3,0,4,6,+10
N. PowellN. PowellSF,29,6-11,1-1,4-4,0,1,1,2,0,0,1,2,17,+10
J. NurkicJ. NurkicC,23,5-6,1-1,0-0,1,10,11,3,2,1,1,4,11,+7
D. LillardD. LillardPG,37,10-21,5-13,14-14,0,0,0,7,0,3,4,1,39,+9
C. McCollumC. McCollumSG,37,7-17,4-9,0-0,0,6,6,5,1,0,3,2,18,-3
L. Nance Jr.L. Nance Jr.PF,22,3-5,0-0,1-1,2,3,5,0,2,0,0,3,7,-3
T. SnellT. SnellSF,10,0-1,0-1,0-0,0,1,1,0,0,0,0,2,0,-5
N. LittleN. LittleSF,22,5-7,1-2,0-0,2,2,4,0,0,0,2,3,11,-6
C. ZellerC. ZellerC,8,0-1,0-0,0-0,0,2,2,0,1,0,0,0,0,+8
A. SimonsA. SimonsSG,22,2-7,1-4,4-4,0,2,2,3,0,0,1,0,9,+8
