UTAH,SAC,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,29,3-9,2-6,1-2,3,2,5,4,0,0,1,2,9,+8
B. BogdanovicB. BogdanovicSF,31,4-9,2-5,0-0,0,4,4,1,1,0,1,0,10,+7
R. GobertR. GobertC,30,8-12,0-1,5-6,7,7,14,1,1,1,2,3,21,+4
M. ConleyM. ConleyPG,26,7-10,3-4,0-0,0,1,1,2,0,0,2,1,17,+1
D. MitchellD. MitchellSG,32,11-22,3-7,1-1,0,5,5,5,1,0,3,3,26,+10
E. PaschallE. PaschallPF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
R. GayR. GaySF,17,1-4,1-3,0-0,0,6,6,1,0,0,1,1,3,+11
H. WhitesideH. WhitesideC,18,3-5,0-0,4-4,2,8,10,0,0,1,0,3,10,+14
J. ClarksonJ. ClarksonPG,24,5-13,3-7,3-4,2,2,4,3,0,0,1,2,16,+20
J. InglesJ. InglesSG,23,3-6,3-6,0-0,0,1,1,3,2,0,0,1,9,+15
T. ForrestT. ForrestSG,6,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,+2
M. OniM. OniSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,23,3-10,1-5,0-0,0,3,3,2,1,1,0,3,7,-11
H. BarnesH. BarnesSF,35,7-13,1-3,3-6,1,7,8,5,1,1,2,1,18,-5
R. HolmesR. HolmesC,31,9-10,0-0,4-5,4,3,7,0,0,1,0,4,22,-7
D. FoxD. FoxPG,33,5-17,1-3,2-3,0,1,1,3,0,1,1,0,13,-7
T. HaliburtonT. HaliburtonPG,37,7-13,2-5,1-2,1,1,2,2,4,0,2,4,17,-17
M. HarklessM. HarklessSF,19,0-1,0-1,1-2,0,2,2,2,2,0,0,1,1,-9
A. LenA. LenC,12,2-6,1-2,0-0,1,6,7,1,0,1,0,0,5,-9
D. JonesD. JonesC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
D. MitchellD. MitchellPG,16,2-8,1-4,1-2,1,1,2,2,0,0,1,0,6,-11
B. HieldB. HieldSG,30,6-13,3-8,1-1,0,3,3,3,0,0,2,1,16,-16
J. RamseyJ. RamseySG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
