NY,CHI,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,39,13-19,1-2,7-8,3,7,10,3,0,0,5,4,34,+6
N. NoelN. NoelC,26,3-4,0-0,0-0,3,2,5,2,0,3,1,5,6,-10
K. WalkerK. WalkerPG,18,3-9,1-4,0-0,0,2,2,4,0,1,0,1,7,-4
E. FournierE. FournierSG,23,1-7,0-3,1-2,0,1,1,0,1,0,2,0,3,0
R. BarrettR. BarrettSG,33,2-12,0-2,5-8,1,14,15,2,1,1,1,3,9,+6
J. SimsJ. SimsPF,4,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,-3
O. ToppinO. ToppinPF,13,3-5,2-3,2-2,3,3,6,1,0,2,0,2,10,-13
D. RoseD. RosePG,30,3-11,1-2,2-2,1,1,2,3,1,3,0,4,9,-2
A. BurksA. BurksSG,29,3-6,1-3,6-6,1,2,3,0,0,0,3,5,13,-4
I. QuickleyI. QuickleySG,25,4-11,1-8,3-3,0,0,0,1,1,0,1,1,12,-6
Q. GrimesQ. GrimesSG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,38,10-20,2-2,9-9,1,5,6,5,2,0,3,1,31,+21
T. BradleyT. BradleyC,18,3-5,0-0,1-1,2,2,4,0,0,0,1,1,7,+11
L. BallL. BallPG,36,4-11,3-7,0-0,3,3,6,5,1,0,2,4,11,+6
A. CarusoA. CarusoSG,30,2-7,1-4,2-2,0,4,4,4,0,0,0,6,7,+17
Z. LaVineZ. LaVineSG,36,7-20,0-5,7-7,0,6,6,4,1,1,2,2,21,-8
A. JohnsonA. JohnsonF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0,-7
J. GreenJ. GreenSF,16,1-2,0-0,3-4,1,8,9,0,0,0,1,4,5,-6
D. Jones Jr.D. Jones Jr.SF,22,3-6,1-1,1-2,4,3,7,0,0,0,0,3,8,+2
C. WhiteC. WhitePG,21,5-11,3-6,1-2,0,0,0,2,0,0,0,2,14,+9
A. DosunmuA. DosunmuSG,20,2-6,1-4,0-0,0,2,2,1,1,0,0,1,5,-15
