CHA,WSH,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,35,5-13,2-2,4-4,1,4,5,2,1,1,0,4,16,+6
M. BridgesM. BridgesSF,41,3-13,0-4,0-0,1,4,5,2,1,0,2,1,6,+13
M. PlumleeM. PlumleeC,22,4-6,0-0,1-5,0,4,4,3,1,2,0,6,9,+3
L. BallL. BallPG,38,10-24,3-9,5-7,1,12,13,7,3,1,6,1,28,+12
T. RozierT. RozierSG,35,11-19,8-11,2-2,0,2,2,4,2,0,1,3,32,+5
J. McDanielsJ. McDanielsPF,9,0-2,0-0,1-2,0,0,0,0,0,0,0,2,1,-5
C. MartinC. MartinSF,28,1-3,1-1,0-2,1,1,2,2,2,0,0,1,3,+5
N. RichardsN. RichardsC,9,3-4,0-0,1-2,2,1,3,0,0,0,0,0,7,+1
K. Oubre Jr.K. Oubre Jr.SG,22,3-7,1-4,0-0,0,2,2,1,1,0,1,4,7,-10
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,31,5-12,1-4,0-0,3,10,13,5,0,1,4,3,11,-14
D. GaffordD. GaffordC,21,3-7,0-0,2-4,3,7,10,0,0,2,2,5,8,-14
S. DinwiddieS. DinwiddiePG,30,2-12,2-8,2-2,0,4,4,3,0,0,0,2,8,-6
B. BealB. BealSG,39,5-18,2-7,6-6,3,4,7,9,1,1,4,2,18,-5
K. Caldwell-PopeK. Caldwell-PopeSG,28,4-10,2-6,7-8,2,1,3,1,4,0,0,2,17,-17
C. KispertC. KispertSF,16,1-5,0-3,0-0,1,0,1,0,0,0,0,1,2,+5
D. AvdijaD. AvdijaSF,19,2-5,1-3,1-2,0,4,4,1,0,2,1,2,6,+7
M. HarrellM. HarrellC,27,10-13,0-0,4-5,7,11,18,0,0,0,2,1,24,+8
R. NetoR. NetoPG,11,2-5,0-2,0-0,0,2,2,1,0,0,3,1,4,-4
A. HolidayA. HolidayPG,17,2-7,1-4,0-0,1,2,3,3,1,0,2,1,5,+10
