DEN,POR,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,35,9-16,3-4,3-3,1,3,4,3,0,3,2,2,24,-22
Ja. GreenJa. GreenPF,26,3-9,1-4,2-2,0,5,5,2,1,0,1,2,9,-13
A. GordonA. GordonPF,32,5-9,0-1,1-1,1,2,3,3,0,0,1,2,11,-12
W. BartonW. BartonSF,35,4-10,3-6,0-0,2,6,8,7,0,0,4,2,11,-24
M. MorrisM. MorrisPG,30,7-11,2-3,0-0,0,2,2,2,0,0,4,2,16,-11
Z. NnajiZ. NnajiPF,15,3-6,2-4,0-0,1,6,7,0,0,2,3,0,8,-3
P. CornelieP. CornelieF,3,0-1,0-0,0-0,1,1,2,0,0,0,1,0,0,0
V. CancarV. CancarSF,3,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,0
B. BolB. BolC,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
F. CampazzoF. CampazzoPG,29,2-4,2-4,2-3,0,2,2,5,3,0,1,3,8,-7
M. HowardM. HowardPG,3,1-3,0-1,0-0,0,0,0,1,1,0,0,0,2,0
A. RiversA. RiversSG,21,3-6,2-5,0-0,0,1,1,2,1,0,0,2,8,-1
P.J. DozierP.J. DozierSG,4,1-3,0-1,0-0,1,1,2,1,0,0,0,0,2,-2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,27,3-6,1-4,2-2,1,6,7,2,1,3,1,2,9,+15
N. PowellN. PowellSF,26,5-10,1-5,4-6,0,2,2,3,3,1,1,3,15,+16
J. NurkicJ. NurkicC,24,2-6,0-0,2-2,2,5,7,3,1,1,2,1,6,+18
D. LillardD. LillardPG,31,9-13,5-8,2-2,0,3,3,5,1,0,1,1,25,+13
C. McCollumC. McCollumSG,34,13-19,5-9,1-3,0,3,3,3,2,0,0,1,32,+28
L. Nance Jr.L. Nance Jr.PF,15,1-4,0-1,0-0,4,3,7,2,2,0,0,2,2,+5
BrownBrown PF,4,1-1,0-0,0-0,0,0,0,0,1,1,0,1,2,0
T. SnellT. SnellSF,11,0-4,0-3,0-0,0,0,0,0,0,0,0,1,0,-3
N. LittleN. LittleSF,23,5-9,1-3,2-3,2,3,5,1,1,0,0,1,13,+3
C. ZellerC. ZellerC,10,0-3,0-0,1-2,1,0,1,2,0,1,0,1,1,+3
D. Smith Jr.D. Smith Jr.PG,4,0-1,0-1,0-0,0,1,1,1,0,0,2,0,0,0
B. McLemoreB. McLemoreSG,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
A. SimonsA. SimonsSG,23,6-12,2-5,0-0,2,3,5,2,0,0,2,3,14,-3
C. EllebyC. EllebySG,4,0-0,0-0,0-0,0,2,2,1,0,0,0,1,0,0
