BKN,BOS,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,37,8-16,0-4,5-6,2,2,4,8,2,0,3,3,21,+20
L. AldridgeL. AldridgeC,29,7-13,0-0,3-4,2,7,9,1,1,1,0,0,17,+13
P. MillsP. MillsPG,33,8-12,7-10,0-0,0,1,1,2,0,0,0,1,23,+20
J. HardenJ. HardenSG,36,4-13,4-9,8-9,1,6,7,11,2,0,3,4,20,+29
D. BembryD. BembrySG,26,4-5,0-0,1-2,1,9,10,2,3,1,2,3,9,+16
P. MillsapP. MillsapPF,17,1-5,1-3,0-0,1,5,6,0,0,1,1,4,3,+8
J. JohnsonJ. JohnsonPF,21,3-5,0-1,1-2,0,4,4,0,0,0,0,3,7,+3
K. EdwardsK. EdwardsSF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
D. SharpeD. SharpeC,3,2-3,0-0,0-1,2,0,2,0,0,0,0,0,4,-2
J. CarterJ. CarterPG,11,2-2,2-2,0-0,0,4,4,2,0,0,1,3,6,+5
C. ThomasC. ThomasSG,25,4-11,0-6,5-6,1,2,3,3,0,1,0,2,13,-15
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,22,3-8,2-7,0-0,1,3,4,1,1,1,1,3,8,-16
J. TatumJ. TatumSF,30,4-16,1-9,6-8,4,4,8,3,1,1,5,2,15,-33
A. HorfordA. HorfordC,24,3-8,1-4,1-1,1,3,4,3,0,0,1,4,8,-20
M. SmartM. SmartPG,36,6-14,3-8,5-5,1,2,3,8,2,1,1,3,20,-10
J. BrownJ. BrownSG,24,5-15,0-8,3-3,1,4,5,0,2,0,2,2,13,-7
J. ParkerJ. ParkerPF,16,1-3,0-0,2-2,3,4,7,1,0,0,0,3,4,+9
HernangómezHernangómez F,3,1-1,0-0,1-1,0,1,1,0,0,0,0,0,3,+2
B. FernandoB. FernandoF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
A. NesmithA. NesmithSF,12,2-4,1-3,0-0,0,0,0,0,0,0,0,2,5,-9
KanterKanter C,7,2-3,0-0,3-3,4,1,5,0,0,2,0,0,7,-8
SchröderSchröder PG,36,3-10,1-5,3-4,0,6,6,6,0,0,1,4,10,-1
P. PritchardP. PritchardPG,4,1-2,0-1,1-1,0,0,0,2,0,0,0,0,3,-1
R. LangfordR. LangfordSG,23,3-7,2-3,0-0,0,2,2,1,0,0,0,1,8,-3
