MIA,MIN,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,32,1-4,1-2,0-0,0,1,1,4,0,1,0,2,3,-23
J. ButlerJ. ButlerSF,39,5-9,0-3,6-7,0,8,8,5,1,0,3,1,16,-16
B. AdebayoB. AdebayoC,36,7-10,0-0,4-11,2,3,5,3,1,0,4,4,18,-8
K. LowryK. LowryPG,23,3-6,1-4,0-0,1,5,6,5,1,0,4,6,7,+4
D. RobinsonD. RobinsonSG,38,6-16,5-15,0-0,0,5,5,3,1,0,2,3,17,-26
C. MartinC. MartinSF,13,0-1,0-0,1-2,0,2,2,1,0,0,0,1,1,+6
D. DedmonD. DedmonC,8,1-1,0-0,7-7,1,2,3,0,0,0,2,2,9,-2
G. VincentG. VincentPG,18,5-9,4-7,0-0,0,3,3,2,2,0,1,5,14,+14
T. HerroT. HerroPG,34,5-18,4-11,2-2,0,7,7,2,0,1,5,1,16,-9
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,25,2-3,0-0,4-5,7,8,15,3,4,0,1,5,8,+8
A. EdwardsA. EdwardsSF,43,13-27,6-15,1-1,1,13,14,6,3,1,5,4,33,+19
K. TownsK. TownsC,29,4-12,1-5,2-2,2,4,6,4,0,2,2,4,11,+21
P. BeverleyP. BeverleyPG,5,0-2,0-2,0-0,0,0,0,1,0,0,0,1,0,-2
D. RussellD. RussellPG,37,6-14,4-10,4-4,0,3,3,6,1,2,4,0,20,+9
T. PrinceT. PrincePF,12,1-4,1-4,0-0,0,1,1,0,0,0,0,2,3,-11
J. McDanielsJ. McDanielsPF,24,3-7,1-3,0-0,2,2,4,0,1,0,2,5,7,+6
N. ReidN. ReidC,16,0-4,0-2,2-2,2,4,6,1,0,1,0,2,2,-5
J. McLaughlinJ. McLaughlinPG,11,0-1,0-1,0-0,0,0,0,3,0,0,2,0,0,+3
M. BeasleyM. BeasleySG,38,9-19,5-13,6-7,1,2,3,0,1,1,0,3,29,+12
