WSH,NO,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,28,2-4,0-1,3-3,0,5,5,4,0,0,4,3,7,-13
D. GaffordD. GaffordC,14,4-6,0-0,0-0,2,0,2,1,0,2,2,2,8,-19
S. DinwiddieS. DinwiddiePG,25,2-8,1-5,6-8,1,7,8,9,0,0,3,2,11,-17
B. BealB. BealSG,28,11-20,0-4,1-3,2,3,5,1,0,0,3,3,23,-18
K. Caldwell-PopeK. Caldwell-PopeSG,23,2-5,2-5,3-4,0,3,3,0,1,0,2,1,9,-17
A. GillA. GillPF,6,3-4,2-2,0-0,1,3,4,0,0,1,1,1,8,+3
D. BertansD. BertansSF,19,1-10,1-9,0-0,1,1,2,0,0,0,0,4,3,-14
C. KispertC. KispertSF,8,1-4,0-2,1-2,0,1,1,0,0,0,0,0,3,+3
D. AvdijaD. AvdijaSF,25,1-5,1-2,0-0,0,3,3,2,2,0,0,3,3,-8
M. HarrellM. HarrellC,24,4-8,0-0,2-8,6,3,9,2,1,0,1,2,10,-8
R. NetoR. NetoPG,21,3-6,0-1,7-8,0,1,1,2,1,0,1,0,13,-11
A. HolidayA. HolidayPG,18,2-4,0-0,0-0,0,2,2,2,0,0,2,2,4,-6
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,32,9-15,1-3,7-8,2,3,5,3,1,0,0,2,26,+21
H. JonesH. JonesSF,30,2-3,0-0,0-0,1,6,7,3,4,0,1,4,4,+9
J. ValanciunasJ. ValanciunasC,24,7-18,1-4,6-6,4,7,11,4,0,0,3,2,21,+11
D. GrahamD. GrahamPG,21,4-11,2-6,2-2,1,0,1,1,0,0,1,3,12,+13
J. HartJ. HartSG,32,5-8,1-2,5-5,0,7,7,4,2,0,0,4,16,+23
G. TempleG. TempleSF,13,1-3,1-3,1-2,0,1,1,0,0,0,0,0,4,+8
N. MarshallN. MarshallSF,5,2-7,1-3,0-0,1,0,1,1,0,0,0,1,5,0
HernangómezHernangómez C,22,4-8,1-1,4-6,1,6,7,4,3,2,1,2,13,+14
J. AlvaradoJ. AlvaradoPG,4,0-0,0-0,0-0,0,1,1,2,0,0,0,2,0,0
K. Lewis Jr.K. Lewis Jr.PG,13,1-5,0-2,0-0,0,2,2,1,1,0,1,0,2,+2
T. SatoranskyT. SatoranskySG,14,1-4,0-1,2-3,1,1,2,5,1,0,0,2,4,+10
N. Alexander-WalkerN. Alexander-WalkerSG,24,5-11,2-2,0-0,0,6,6,5,1,0,2,4,12,+14
T. Murphy IIIT. Murphy IIISG,5,3-3,2-2,0-0,1,0,1,0,0,0,1,0,8,0
