DET,LAC,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,33,5-16,1-4,9-9,1,9,10,3,0,0,1,4,20,-9
S. BeyS. BeySF,23,4-12,1-6,0-0,1,1,2,1,0,0,0,2,9,-28
I. StewartI. StewartC,27,2-6,0-1,0-2,2,10,12,0,1,1,2,3,4,-19
C. JosephC. JosephPG,25,3-6,2-2,2-2,0,2,2,4,1,0,1,0,10,-22
C. CunninghamC. CunninghamPG,28,3-13,0-5,4-5,2,4,6,6,3,0,4,5,10,0
T. LylesT. LylesPF,15,5-8,2-3,1-1,2,3,5,0,0,0,0,1,13,-3
L. GarzaL. GarzaC,10,2-3,0-0,1-2,1,2,3,0,0,0,0,0,5,+12
F. JacksonF. JacksonPG,21,3-8,1-5,3-3,1,0,1,0,0,0,4,0,10,-9
S. LeeS. LeePG,20,2-4,0-1,2-2,0,3,3,2,1,1,2,1,6,+5
J. JacksonJ. JacksonSG,19,2-5,1-4,0-0,0,1,1,0,0,1,0,1,5,+16
H. DialloH. DialloSG,18,2-9,0-2,0-0,3,4,7,1,2,1,1,2,4,+2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,23,2-7,0-3,2-2,0,5,5,2,1,0,1,3,6,+13
I. ZubacI. ZubacC,22,3-4,0-0,4-4,5,8,13,2,1,1,2,2,10,+17
R. JacksonR. JacksonPG,34,8-19,3-10,2-2,0,4,4,4,0,0,0,2,21,+14
E. BledsoeE. BledsoeSG,30,6-9,3-4,0-0,0,3,3,3,0,0,2,3,15,+19
P. GeorgeP. GeorgeSG,32,5-19,1-9,1-2,0,5,5,4,3,1,2,2,12,+10
J. WinslowJ. WinslowPF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
S. IbakaS. IbakaC,19,3-5,1-1,2-2,1,1,2,2,0,2,1,2,9,-6
I. HartensteinI. HartensteinC,19,4-5,0-0,2-2,2,3,5,3,1,0,0,4,10,-3
T. MannT. MannSG,31,6-13,1-1,3-3,2,8,10,2,1,0,2,4,16,-2
L. KennardL. KennardSG,28,2-10,2-10,2-2,1,6,7,4,2,0,4,5,8,-4
