MIN,CHA,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,24,2-5,0-0,1-2,1,7,8,0,2,1,1,2,5,+5
J. McDanielsJ. McDanielsPF,22,2-7,0-4,0-0,3,3,6,0,0,1,2,3,4,-19
A. EdwardsA. EdwardsSF,28,4-9,1-4,2-3,1,4,5,2,1,0,2,2,11,-15
K. TownsK. TownsC,31,9-18,1-3,6-7,2,5,7,6,1,0,3,3,25,-12
D. RussellD. RussellPG,28,8-15,1-4,1-2,1,5,6,5,0,0,2,2,18,-7
T. PrinceT. PrincePF,20,3-6,2-4,0-0,2,1,3,1,2,2,0,1,8,-14
N. KnightN. KnightF,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+5
J. LaymanJ. LaymanSF,7,1-1,0-0,0-0,1,1,2,0,0,1,1,0,2,+4
J. OkogieJ. OkogieSF,12,2-3,0-1,0-0,0,0,0,1,0,0,0,1,4,-4
N. ReidN. ReidC,14,1-6,0-0,3-4,2,4,6,1,1,1,0,2,5,-14
J. McLaughlinJ. McLaughlinPG,15,1-3,0-1,0-0,0,0,0,4,1,0,0,0,2,-13
M. BeasleyM. BeasleySG,27,6-14,5-11,1-1,0,0,0,1,0,0,1,2,18,-14
J. NowellJ. NowellSG,7,4-9,1-2,0-0,0,0,0,1,0,0,0,0,9,+4
L. BolmaroL. BolmaroSG,4,1-3,0-1,0-0,2,0,2,2,0,0,0,2,2,+4
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. WashingtonP.J. WashingtonPF,24,6-12,5-7,0-0,0,6,6,1,0,0,2,5,17,+9
G. HaywardG. HaywardSF,27,7-13,2-5,2-3,2,4,6,6,0,3,5,2,18,+13
M. BridgesM. BridgesSF,26,5-9,3-4,5-6,2,5,7,1,1,1,1,5,18,+9
L. BallL. BallPG,29,4-10,0-3,2-3,1,5,6,13,1,0,4,2,10,+9
T. RozierT. RozierSG,29,6-9,3-3,0-0,0,3,3,2,2,1,1,0,15,+7
J. McDanielsJ. McDanielsPF,23,5-7,3-4,1-1,2,6,8,1,0,0,0,1,14,+14
K. JonesK. JonesPF,3,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,-4
C. MartinC. MartinSF,28,3-5,0-1,0-0,0,3,3,6,1,1,0,0,6,+19
N. RichardsN. RichardsC,15,1-2,0-0,0-0,0,3,3,0,0,1,1,4,2,0
I. SmithI. SmithPG,6,1-2,0-0,0-0,0,0,0,0,0,0,1,0,2,-3
K. Oubre Jr.K. Oubre Jr.SG,27,10-17,7-13,0-0,0,1,1,0,0,0,0,2,27,+21
J. BouknightJ. BouknightSG,4,0-1,0-0,2-2,0,0,0,2,0,0,0,0,2,-4
