PHX,NY,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,20,4-5,3-4,0-0,0,0,0,1,3,0,1,5,11,+7
M. BridgesM. BridgesSF,39,4-7,0-2,2-2,0,2,2,3,3,0,1,2,10,+18
D. AytonD. AytonC,32,7-9,0-0,0-0,0,13,13,0,0,0,2,2,14,+8
C. PaulC. PaulPG,30,3-6,1-1,7-9,0,4,4,10,1,0,2,1,14,+7
D. BookerD. BookerSG,35,14-27,4-9,0-0,0,1,1,3,1,1,3,0,32,+15
J. SmithJ. SmithPF,2,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
I. WainrightI. WainrightF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+3
C. JohnsonC. JohnsonSF,28,3-6,2-4,2-2,0,3,3,2,0,0,0,3,10,+14
J. McGeeJ. McGeeC,14,2-3,0-0,2-3,1,7,8,1,1,1,0,0,6,+10
C. PayneC. PaynePG,18,5-11,1-4,2-2,0,2,2,6,1,0,1,4,13,+14
L. ShametL. ShametSG,20,2-4,2-4,2-3,0,1,1,2,0,0,1,2,8,+6
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,32,3-8,0-2,3-4,2,4,6,4,2,1,4,0,9,-7
M. RobinsonM. RobinsonC,21,3-4,0-0,1-3,5,3,8,0,1,0,0,0,7,-10
K. WalkerK. WalkerPG,23,5-11,3-6,4-4,0,3,3,2,1,0,2,1,17,-13
E. FournierE. FournierSG,26,4-15,3-7,0-0,1,4,5,1,0,0,2,2,11,-14
R. BarrettR. BarrettSG,31,3-10,1-3,3-4,0,3,3,0,1,0,1,2,10,-13
J. SimsJ. SimsPF,4,0-0,0-0,0-0,1,1,2,0,0,0,0,1,0,-3
O. ToppinO. ToppinPF,14,2-10,0-3,1-2,3,2,5,0,0,0,1,1,5,-9
K. Knox IIK. Knox IIF,8,1-4,0-2,0-0,0,0,0,0,0,0,0,0,2,-1
N. NoelN. NoelC,18,2-5,0-1,2-2,2,4,6,0,0,0,1,3,6,-11
M. McBrideM. McBridePG,4,1-5,0-3,0-0,1,0,1,1,1,0,0,1,2,-5
A. BurksA. BurksSG,23,3-5,1-1,2-2,0,6,6,1,1,0,0,3,9,-9
I. QuickleyI. QuickleySG,20,6-9,3-6,1-1,0,2,2,4,0,0,2,3,16,-4
Q. GrimesQ. GrimesSG,17,1-6,1-5,0-0,2,2,4,0,0,0,2,3,3,-6
