TOR,IND,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,37,7-17,1-4,2-3,3,9,12,4,0,1,1,1,17,-10
P. AchiuwaP. AchiuwaPF,33,4-7,0-1,1-2,2,5,7,2,0,0,1,2,9,-16
S. BarnesS. BarnesSF,35,5-9,0-0,7-9,3,4,7,4,2,1,1,4,17,-13
F. VanVleetF. VanVleetSG,38,10-21,4-10,2-3,0,5,5,4,1,1,4,5,26,-7
G. Trent Jr.G. Trent Jr.SG,32,4-11,1-5,4-4,0,1,1,1,2,0,0,2,13,-12
C. BoucherC. BoucherPF,14,4-8,1-3,0-1,3,1,4,0,1,0,1,2,9,-6
J. ChampagnieJ. ChampagnieSF,1,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0,0
M. FlynnM. FlynnPG,14,1-6,0-2,0-0,0,2,2,0,1,0,0,0,2,-13
D. BantonD. BantonPG,17,1-2,0-1,0-0,1,1,2,2,0,0,2,1,2,-4
S. MykhailiukS. MykhailiukSG,17,1-6,0-3,0-0,0,0,0,0,1,0,0,1,2,-4
I. BongaI. BongaG,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,36,8-15,1-3,6-7,7,11,18,2,0,0,4,3,23,+16
J. HolidayJ. HolidaySF,22,1-6,0-4,0-0,0,0,0,2,1,1,1,0,2,+1
M. TurnerM. TurnerC,31,7-14,3-7,0-0,2,8,10,1,0,2,0,2,17,+3
M. BrogdonM. BrogdonPG,36,4-10,1-5,2-2,0,4,4,12,1,0,1,5,11,+6
C. LeVertC. LeVertSG,34,8-15,3-5,0-0,0,5,5,3,0,0,2,2,19,+12
T. CraigT. CraigSF,12,5-6,1-1,0-1,2,1,3,2,0,0,0,2,11,0
T.J. McConnellT.J. McConnellPG,22,2-4,0-0,0-0,2,2,4,7,3,0,2,2,4,+11
K. MartinK. MartinSG,23,7-13,1-6,0-0,2,1,3,1,1,1,0,1,15,+20
C. DuarteC. DuarteSG,23,5-14,1-8,1-1,2,4,6,1,0,0,2,2,12,+16
