WSH,OKC,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,33,5-9,1-3,0-0,1,9,10,5,0,0,4,3,11,-3
D. GaffordD. GaffordC,27,3-5,0-0,1-1,2,6,8,1,1,8,0,0,7,+9
S. DinwiddieS. DinwiddiePG,31,3-6,2-4,2-2,0,4,4,2,0,0,2,1,10,-1
B. BealB. BealSG,37,8-18,2-7,2-2,0,4,4,6,0,0,3,3,20,+10
K. Caldwell-PopeK. Caldwell-PopeSG,27,8-13,4-7,0-0,0,4,4,2,0,2,1,2,20,+5
D. BertansD. BertansSF,16,0-3,0-2,5-5,1,2,3,1,1,0,1,0,5,+3
D. AvdijaD. AvdijaSF,22,4-7,1-3,0-0,0,4,4,0,0,1,1,2,9,-3
M. HarrellM. HarrellC,20,5-7,0-0,4-4,1,4,5,0,0,0,3,2,14,-5
R. NetoR. NetoPG,17,2-9,0-1,1-1,0,1,1,0,0,0,0,1,5,+3
A. HolidayA. HolidayPG,11,0-2,0-2,0-0,0,0,0,0,0,1,0,1,0,-8
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,22,3-10,2-4,0-0,1,4,5,0,0,0,0,0,8,-5
J. Robinson-EarlJ. Robinson-EarlPF,23,4-7,2-3,0-0,0,2,2,0,0,1,2,1,10,0
L. DortL. DortSF,36,7-14,2-6,5-5,0,4,4,2,1,0,0,3,21,-8
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,34,7-16,0-4,1-2,0,8,8,9,1,1,1,1,15,-6
J. GiddeyJ. GiddeySG,29,4-12,0-2,3-4,1,6,7,4,1,0,1,1,11,+2
K. WilliamsK. WilliamsSF,24,4-6,1-1,2-2,3,2,5,1,1,0,0,3,11,+7
D. FavorsD. FavorsC,10,1-4,0-1,0-0,1,1,2,0,0,0,1,1,2,-13
M. MuscalaM. MuscalaC,17,1-4,1-4,0-0,0,0,0,3,1,2,1,1,3,+7
A. PokusevskiA. PokusevskiC,17,3-8,1-2,0-0,2,4,6,2,1,0,3,3,7,+5
T. MannT. MannPG,17,3-11,1-4,0-0,1,0,1,0,1,0,0,1,7,-6
T. JeromeT. JeromeSG,11,1-2,1-2,1-1,1,0,1,2,0,0,0,0,4,+7
