BOS,SA,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,40,9-23,2-7,4-5,3,9,12,2,1,0,2,3,24,-13
A. HorfordA. HorfordC,25,2-8,0-3,0-0,3,2,5,1,0,2,1,3,4,-29
M. SmartM. SmartPG,33,6-14,0-3,1-2,2,5,7,8,1,1,2,2,13,-17
SchröderSchröder PG,38,3-14,1-5,1-1,0,5,5,4,0,0,2,4,8,-14
J. BrownJ. BrownSG,27,6-16,3-7,1-3,0,4,4,3,0,1,1,2,16,-2
J. ParkerJ. ParkerPF,5,1-1,1-1,2-2,0,0,0,0,1,0,1,0,5,-7
G. WilliamsG. WilliamsPF,27,3-4,1-2,0-0,2,3,5,1,0,3,0,3,7,+18
A. NesmithA. NesmithSF,10,2-4,1-3,0-0,0,1,1,0,1,0,0,2,5,-2
KanterKanter C,18,1-5,0-0,1-2,2,6,8,0,0,0,1,0,3,+28
R. LangfordR. LangfordSG,17,1-3,1-3,0-0,0,4,4,1,0,1,0,1,3,-2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. Bates-DiopK. Bates-DiopSF,18,1-3,0-1,0-0,0,3,3,0,0,0,0,1,2,+5
K. JohnsonK. JohnsonSF,38,7-12,1-2,2-4,3,11,14,2,2,0,1,1,17,+12
J. PoeltlJ. PoeltlC,34,3-6,0-0,1-2,2,10,12,1,0,3,1,4,7,+14
D. WhiteD. WhitePG,37,5-16,3-9,4-4,2,6,8,7,0,2,2,1,17,+16
D. MurrayD. MurrayPG,38,12-24,0-2,5-7,1,10,11,6,3,1,3,2,29,+8
T. YoungT. YoungPF,6,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,-6
D. EubanksD. EubanksPF,7,0-3,0-0,0-0,0,1,1,0,0,0,0,0,0,-2
T. JonesT. JonesPG,18,5-6,0-0,2-2,0,2,2,2,0,0,2,2,12,+17
B. ForbesB. ForbesSG,23,1-7,0-5,0-0,0,1,1,0,2,0,1,2,2,-14
L. Walker IVL. Walker IVSG,15,4-8,2-4,0-0,0,1,1,1,0,0,0,1,10,-12
J. PrimoJ. PrimoSG,5,0-1,0-1,0-0,0,0,0,0,0,0,0,1,0,+2
