POR,GS,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,31,4-11,1-7,0-0,1,5,6,2,2,0,0,1,9,-12
N. PowellN. PowellSF,26,6-9,1-1,2-2,0,1,1,2,0,0,1,2,15,-14
J. NurkicJ. NurkicC,24,6-10,0-2,5-8,1,4,5,3,1,0,1,4,17,-15
D. LillardD. LillardPG,38,5-15,2-7,4-4,0,0,0,6,1,0,4,1,16,-12
C. McCollumC. McCollumSG,39,6-17,3-6,1-2,3,4,7,4,0,1,1,2,16,-15
L. Nance Jr.L. Nance Jr.PF,24,2-5,1-2,3-4,1,5,6,3,0,1,1,0,8,0
T. SnellT. SnellSF,10,0-2,0-1,0-0,0,1,1,1,0,0,0,1,0,-3
N. LittleN. LittleSF,20,0-4,0-2,3-3,1,4,5,0,0,0,0,0,3,0
A. SimonsA. SimonsSG,29,7-13,5-10,0-0,0,6,6,2,3,0,2,2,19,-4
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,34,5-8,0-1,2-3,1,7,8,12,2,3,6,3,12,+17
A. WigginsA. WigginsSF,34,10-16,3-5,2-2,2,3,5,2,1,0,1,3,25,+21
K. LooneyK. LooneyC,20,6-7,0-0,0-0,3,4,7,0,0,0,0,3,12,-3
S. CurryS. CurryPG,38,12-25,6-15,2-3,0,7,7,8,1,0,3,2,32,+18
J. PooleJ. PooleSG,35,5-12,2-6,2-2,1,1,2,5,0,0,1,3,14,+23
N. BjelicaN. BjelicaPF,10,1-3,0-2,1-2,2,2,4,0,0,1,1,0,3,-2
O. Porter Jr.O. Porter Jr.SF,21,1-4,0-3,0-0,0,6,6,1,1,1,1,1,2,+8
J. Toscano-AndersonJ. Toscano-AndersonSF,23,3-5,0-2,2-2,2,6,8,1,0,0,1,1,8,0
G. Payton IIG. Payton IISG,12,3-3,0-0,1-2,0,1,1,0,2,0,0,1,7,-3
C. ChiozzaC. ChiozzaG,13,1-4,1-3,0-0,0,0,0,2,1,0,1,2,3,-4
