ORL,CLE,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,34,4-13,1-3,3-4,3,5,8,4,1,1,0,2,12,+1
R. LopezR. LopezC,31,6-9,0-0,1-4,1,1,2,4,0,2,4,6,13,-23
W. Carter Jr.W. Carter Jr.C,32,8-13,1-4,2-2,3,8,11,1,2,0,0,0,19,-21
G. HarrisG. HarrisSG,32,5-10,1-6,0-0,0,2,2,1,4,0,1,1,11,-13
J. SuggsJ. SuggsSG,31,3-10,1-4,3-4,0,3,3,3,4,0,1,3,10,-11
C. OkekeC. OkekePF,18,2-9,0-4,2-4,1,4,5,0,0,1,0,0,6,+5
M. WagnerM. WagnerC,17,3-7,3-5,0-0,0,4,4,2,0,0,1,2,9,+10
R.J. HamptonR.J. HamptonPG,21,2-8,0-3,3-5,0,4,4,3,0,0,0,1,7,-7
T. RossT. RossSG,11,2-5,1-1,0-0,0,2,2,3,0,0,1,0,5,+3
M. MulderM. MulderG,13,0-4,0-2,0-0,0,2,2,0,0,1,0,1,0,-9
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,32,8-13,4-8,0-0,2,3,5,0,0,0,1,0,20,+11
I. OkoroI. OkoroSF,27,3-9,1-3,0-0,1,4,5,1,0,0,2,4,7,+18
J. AllenJ. AllenC,36,8-9,0-0,3-4,4,7,11,3,0,2,1,3,19,+22
E. MobleyE. MobleyC,33,5-12,2-4,1-2,2,7,9,3,0,4,1,1,13,+3
D. GarlandD. GarlandPG,36,11-21,3-7,1-2,1,3,4,11,1,0,4,2,26,+16
K. LoveK. LovePF,19,2-8,1-5,0-0,0,7,7,1,0,1,1,3,5,+6
L. StevensL. StevensF,8,0-1,0-1,0-0,0,0,0,0,0,1,0,0,0,-4
C. OsmanC. OsmanSF,22,3-11,2-6,2-2,0,6,6,1,1,1,0,1,10,-1
R. RubioR. RubioPG,27,1-6,1-5,2-2,0,4,4,8,1,0,3,4,5,-6
