MIA,CHI,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,18,2-7,1-2,0-0,3,3,6,0,0,1,0,3,5,-7
J. ButlerJ. ButlerSF,36,6-15,0-4,6-7,1,3,4,5,5,0,1,2,18,0
B. AdebayoB. AdebayoC,33,4-9,0-0,1-2,1,6,7,6,1,0,1,2,9,+7
K. LowryK. LowryPG,37,7-13,3-7,2-2,1,4,5,6,2,0,2,1,19,+5
D. RobinsonD. RobinsonSG,25,6-14,4-11,0-0,0,1,1,0,1,0,0,4,16,+6
C. MartinC. MartinSF,17,2-6,1-1,0-0,1,2,3,0,0,0,1,0,5,+7
D. DedmonD. DedmonC,12,0-0,0-0,2-2,1,3,4,1,1,0,3,1,2,-6
G. VincentG. VincentPG,31,6-11,4-8,4-4,1,1,2,5,1,0,1,4,20,+2
M. StrusM. StrusSG,31,4-11,1-7,4-5,0,4,4,0,2,0,1,2,13,+1
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,41,11-19,0-4,6-7,2,5,7,1,1,0,4,3,28,-7
J. GreenJ. GreenSF,17,2-4,1-2,2-4,0,1,1,1,0,0,1,2,7,-3
N. VucevicN. VucevicC,30,3-9,0-3,1-2,3,10,13,3,2,2,3,1,7,+1
L. BallL. BallPG,37,4-12,3-11,0-0,1,10,11,6,1,0,4,4,11,-1
Z. LaVineZ. LaVineSG,37,6-16,4-10,0-0,0,4,4,2,1,0,2,4,16,-4
D. Jones Jr.D. Jones Jr.SF,16,3-3,0-0,1-1,0,1,1,1,0,1,0,2,7,-5
C. WhiteC. WhitePG,20,2-8,0-5,0-0,1,5,6,2,0,1,5,2,4,+3
A. CarusoA. CarusoSG,34,6-8,3-4,7-7,2,1,3,6,1,0,2,0,22,+3
A. DosunmuA. DosunmuSG,9,1-2,0-0,0-0,1,0,1,0,0,0,1,2,2,-2
