CHA,HOU,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. WashingtonP.J. WashingtonPF,35,5-7,3-4,0-0,2,3,5,6,2,2,2,2,13,+4
G. HaywardG. HaywardSF,35,6-16,2-4,7-9,1,2,3,3,1,0,1,2,21,-6
M. BridgesM. BridgesSF,33,8-12,2-5,4-4,2,3,5,2,0,0,4,1,22,-14
L. BallL. BallPG,40,7-19,2-6,3-3,4,7,11,13,1,0,2,5,19,-14
T. RozierT. RozierSG,43,9-23,6-16,7-7,1,2,3,5,1,1,1,1,31,+5
J. McDanielsJ. McDanielsPF,21,2-3,1-2,0-0,1,5,6,2,1,0,1,3,5,+5
C. MartinC. MartinSF,15,2-3,2-3,0-0,0,0,0,0,1,0,0,4,6,-12
N. RichardsN. RichardsC,7,1-1,0-0,1-1,2,0,2,0,0,0,0,1,3,0
K. Oubre Jr.K. Oubre Jr.SG,36,8-19,2-10,5-6,3,1,4,0,3,2,0,4,23,+17
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,36,6-9,2-4,2-2,0,2,2,5,1,0,2,3,16,+15
C. WoodC. WoodC,41,13-19,2-3,5-7,4,12,16,3,0,2,1,2,33,+16
E. GordonE. GordonSG,37,8-14,4-7,2-3,0,1,1,7,1,0,2,2,22,+8
G. MathewsG. MathewsSG,38,6-10,5-9,3-5,2,1,3,0,1,0,0,5,20,+12
K. Porter Jr.K. Porter Jr.SG,42,7-16,3-9,6-10,1,7,8,12,1,0,4,2,23,+11
K. Martin Jr.K. Martin Jr.F,15,2-7,1-1,2-2,1,2,3,1,0,0,0,1,7,-8
D. House Jr.D. House Jr.SF,15,1-4,0-2,0-0,0,2,2,1,0,0,0,3,2,-6
A. SengunA. SengunC,12,2-3,0-1,1-2,2,3,5,4,0,2,4,2,5,-13
D.J. AugustinD.J. AugustinPG,10,1-2,1-2,0-0,0,0,0,3,0,0,0,2,3,-7
A. BrooksA. BrooksSG,20,5-11,5-11,0-0,0,1,1,0,1,0,0,3,15,-13
