WSH,DAL,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,7-14,3-6,5-5,0,9,9,4,1,0,4,2,22,+9
D. GaffordD. GaffordC,27,6-7,0-0,2-2,4,6,10,3,0,2,0,2,14,+14
A. HolidayA. HolidayPG,20,3-5,1-2,0-0,0,2,2,3,0,1,2,3,7,+9
B. BealB. BealSG,38,10-14,1-1,5-6,0,5,5,7,2,0,3,4,26,+15
K. Caldwell-PopeK. Caldwell-PopeSG,31,5-9,0-1,6-6,1,5,6,1,1,1,2,1,16,+13
D. BertansD. BertansSF,15,0-5,0-5,0-0,0,2,2,1,0,0,0,1,0,-14
C. KispertC. KispertSF,11,2-3,0-1,0-1,0,1,1,1,0,0,1,0,4,-4
D. AvdijaD. AvdijaSF,19,3-7,1-4,0-0,0,1,1,1,0,0,1,3,7,-3
M. HarrellM. HarrellC,20,4-6,1-1,2-4,2,0,2,1,0,0,0,1,11,-6
R. NetoR. NetoPG,24,5-8,2-3,1-2,0,5,5,6,0,0,1,1,13,-3
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,29,3-5,2-4,0-0,1,3,4,2,1,0,0,0,8,-6
T. Hardaway Jr.T. Hardaway Jr.SF,36,4-12,2-5,0-2,1,1,2,2,3,0,0,3,10,-7
W. Cauley-SteinW. Cauley-SteinC,10,2-6,0-0,0-0,3,0,3,0,0,2,2,3,4,-7
K. PorzingisK. PorzingisC,36,4-12,0-3,5-6,0,7,7,3,3,1,0,2,13,-2
L. DoncicL. DoncicPG,37,13-25,3-9,4-7,0,4,4,10,0,0,4,3,33,-11
M. KleberM. KleberPF,30,6-9,1-3,0-0,3,3,6,1,0,1,0,4,13,0
R. BullockR. BullockSF,28,2-7,2-7,1-1,0,2,2,0,0,0,0,2,7,-3
S. BrownS. BrownSF,13,3-5,2-3,0-0,1,4,5,1,0,0,0,1,8,+13
D. PowellD. PowellC,10,0-1,0-0,4-4,0,1,1,0,0,0,0,1,4,-12
T. BurkeT. BurkePG,11,5-7,2-4,2-2,0,1,1,4,0,0,1,2,14,+5
