ORL,PHI,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,38,11-24,1-5,4-6,0,6,6,5,1,0,2,1,27,+4
W. Carter Jr.W. Carter Jr.C,34,4-11,0-6,0-0,2,10,12,2,1,0,0,4,8,+6
M. BambaM. BambaC,35,5-11,1-3,0-0,4,13,17,1,0,6,0,5,11,-8
G. HarrisG. HarrisSG,32,6-11,3-8,1-1,0,5,5,2,0,0,2,4,16,+7
J. SuggsJ. SuggsSG,29,5-13,1-1,6-8,1,2,3,5,1,0,2,1,17,+5
C. OkekeC. OkekePF,28,2-5,1-2,0-0,0,6,6,3,2,0,0,1,5,-8
I. BrazdeikisI. BrazdeikisSF,7,0-0,0-0,0-0,0,0,0,0,1,0,0,1,0,-8
R.J. HamptonR.J. HamptonPG,14,2-4,1-2,2-2,0,3,3,1,1,0,4,2,7,-11
T. RossT. RossSG,23,2-11,0-6,1-1,1,2,3,1,0,0,2,2,5,-12
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,35,8-20,1-4,0-0,0,9,9,2,1,0,0,3,17,-1
D. GreenD. GreenSF,24,2-4,1-3,0-0,1,2,3,1,1,0,0,1,5,+1
J. EmbiidJ. EmbiidC,30,4-16,1-2,7-10,4,9,13,5,0,2,3,4,16,+1
T. MaxeyT. MaxeyPG,32,2-12,1-4,4-4,1,7,8,9,0,1,0,3,9,0
S. CurryS. CurrySG,33,10-13,3-5,1-1,0,2,2,1,2,0,0,1,24,+3
G. NiangG. NiangSF,15,3-9,2-7,0-0,0,2,2,1,0,0,1,0,8,+1
A. DrummondA. DrummondC,18,3-4,0-0,1-3,6,6,12,1,0,2,3,1,7,+2
M. ThybulleM. ThybulleSG,20,3-5,1-2,0-0,0,1,1,0,0,1,2,3,7,+2
S. MiltonS. MiltonSG,18,3-8,0-2,0-0,0,2,2,3,2,0,0,3,6,+8
F. KorkmazF. KorkmazSG,16,1-6,0-4,0-0,0,3,3,1,1,0,1,0,2,+8
