IND,MIN,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,36,5-12,0-4,6-7,4,21,25,10,0,1,4,5,16,+17
J. HolidayJ. HolidaySF,39,6-15,3-8,0-0,0,4,4,2,1,1,0,1,15,+2
T.J. McConnellT.J. McConnellPG,34,3-6,0-1,2-2,1,1,2,4,2,0,1,1,8,-11
M. BrogdonM. BrogdonPG,40,9-20,2-6,5-6,0,6,6,5,3,0,2,2,25,+1
C. LeVertC. LeVertSG,34,3-14,1-7,2-2,2,2,4,3,0,0,0,2,9,+17
I. JacksonI. JacksonF,5,1-2,0-0,0-0,0,1,1,0,0,0,1,3,2,-9
T. CraigT. CraigSF,7,0-1,0-1,0-0,0,0,0,1,0,0,1,0,0,-2
G. BitadzeG. BitadzeC,6,0-1,0-1,1-2,0,2,2,0,0,1,0,1,1,-8
K. MartinK. MartinSG,18,4-9,0-4,0-0,1,0,1,0,0,0,2,1,8,-19
C. DuarteC. DuarteSG,21,5-11,3-5,1-2,0,2,2,2,0,0,2,2,14,+2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. PrinceT. PrincePF,23,0-4,0-3,0-0,1,3,4,1,0,1,0,2,0,+7
J. OkogieJ. OkogieSF,33,1-4,0-2,0-0,1,2,3,4,2,2,0,3,2,-8
A. EdwardsA. EdwardsSF,39,7-19,2-7,5-6,1,8,9,5,3,0,0,3,21,-2
K. TownsK. TownsC,32,13-22,1-4,5-8,2,6,8,2,0,0,9,6,32,-13
D. RussellD. RussellPG,39,7-17,3-9,4-4,2,6,8,11,1,0,1,4,21,+10
N. ReidN. ReidC,23,5-7,1-2,2-4,0,2,2,1,0,1,0,3,13,+20
M. BeasleyM. BeasleySG,29,2-7,2-7,3-4,0,7,7,1,1,0,2,1,9,-4
J. NowellJ. NowellSG,7,1-1,0-0,0-0,0,1,1,0,0,1,0,2,2,+4
L. BolmaroL. BolmaroSG,15,0-1,0-1,0-0,1,4,5,0,1,0,1,1,0,-4
