WSH,SA,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,33,5-9,1-3,2-2,0,5,5,3,0,0,1,3,13,-11
D. GaffordD. GaffordC,22,5-7,0-0,1-2,3,7,10,3,0,1,1,2,11,-6
S. DinwiddieS. DinwiddiePG,30,6-10,2-4,2-4,1,5,6,1,1,1,0,2,16,-7
B. BealB. BealSG,36,8-21,1-5,1-2,1,1,2,8,0,0,2,1,18,-11
K. Caldwell-PopeK. Caldwell-PopeSG,25,7-11,3-6,0-0,0,1,1,3,1,0,1,3,17,-10
A. GillA. GillPF,2,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,-1
D. BertansD. BertansSF,11,0-4,0-3,0-0,0,1,1,0,0,0,0,1,0,-1
C. KispertC. KispertSF,12,2-4,1-3,0-0,0,2,2,0,0,0,0,0,5,-11
D. AvdijaD. AvdijaSF,21,1-6,0-3,0-0,2,2,4,0,0,0,0,3,2,-9
M. HarrellM. HarrellC,21,3-7,0-0,0-0,3,2,5,6,1,1,1,0,6,-6
R. NetoR. NetoPG,16,1-6,0-3,2-3,2,1,3,1,1,0,0,0,4,-6
A. HolidayA. HolidayPG,12,2-6,0-0,0-0,0,1,1,1,1,0,0,0,4,-6
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. Bates-DiopK. Bates-DiopSF,19,2-4,0-1,2-4,0,1,1,2,0,0,0,1,6,+6
K. JohnsonK. JohnsonSF,35,6-8,1-1,0-0,2,3,5,2,0,0,0,3,13,+18
J. PoeltlJ. PoeltlC,25,7-11,0-0,0-3,7,4,11,1,1,2,0,0,14,+5
D. WhiteD. WhitePG,33,10-21,3-7,1-1,2,3,5,5,1,1,1,1,24,+11
D. MurrayD. MurrayPG,34,8-19,0-2,6-7,2,8,10,8,0,0,1,1,22,+20
T. YoungT. YoungPF,13,5-7,0-0,0-0,1,2,3,2,1,0,0,1,10,+14
D. EubanksD. EubanksPF,9,1-3,0-0,0-0,0,2,2,1,0,2,3,1,2,-3
D. CacokD. CacokPF,2,1-1,0-0,0-0,1,1,2,1,0,0,0,0,2,+1
J. WieskampJ. WieskampSF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
J. LandaleJ. LandaleC,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
T. JonesT. JonesPG,14,1-3,0-0,0-0,0,1,1,1,0,0,2,1,2,-4
B. ForbesB. ForbesSG,18,4-6,2-3,0-0,0,4,4,2,0,0,2,1,10,+1
L. Walker IVL. Walker IVSG,24,1-6,0-2,1-1,0,5,5,2,1,1,1,4,3,+9
J. PrimoJ. PrimoSG,12,2-2,2-2,0-0,0,2,2,1,0,0,0,1,6,+5
