NO,LAC,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,34,12-18,1-2,2-4,1,6,7,4,0,0,1,2,27,+27
H. JonesH. JonesSF,34,6-10,0-1,4-4,2,2,4,1,2,1,0,4,16,+14
J. ValanciunasJ. ValanciunasC,32,15-24,7-8,2-2,7,8,15,3,2,0,1,2,39,+22
D. GrahamD. GrahamPG,30,3-8,2-7,0-0,0,1,1,3,3,0,1,3,8,+12
J. HartJ. HartSG,33,1-9,0-5,2-2,1,11,12,9,2,0,3,3,4,+28
G. TempleG. TempleSF,10,2-4,2-4,0-0,0,0,0,0,1,0,0,1,6,-8
N. MarshallN. MarshallSF,2,0-0,0-0,0-0,0,0,0,2,0,0,0,1,0,0
HernangómezHernangómez C,16,4-6,0-0,1-2,2,4,6,0,0,0,1,3,9,-3
K. Lewis Jr.K. Lewis Jr.PG,12,0-2,0-1,2-2,0,0,0,3,0,0,0,0,2,+3
T. SatoranskyT. SatoranskySG,10,0-0,0-0,0-0,0,1,1,3,0,0,0,1,0,+4
N. Alexander-WalkerN. Alexander-WalkerSG,24,3-11,1-6,0-0,1,0,1,2,1,0,0,1,7,-4
T. Murphy IIIT. Murphy IIISG,2,2-2,1-1,0-0,0,0,0,0,0,0,0,0,5,0
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
I. ZubacI. ZubacC,18,2-2,0-0,0-0,0,4,4,0,0,1,1,1,4,-17
R. JacksonR. JacksonPG,35,7-14,4-9,1-2,0,5,5,2,0,0,1,3,19,-10
E. BledsoeE. BledsoeSG,29,4-6,0-1,2-4,0,3,3,2,1,0,2,2,10,-20
P. GeorgeP. GeorgeSG,34,10-20,3-10,4-4,0,3,3,3,1,0,7,3,27,-21
A. CoffeyA. CoffeySG,24,3-4,2-3,1-2,0,3,3,0,0,0,0,0,9,-13
S. IbakaS. IbakaC,26,5-7,3-4,0-0,0,6,6,1,0,0,1,5,13,+4
I. HartensteinI. HartensteinC,14,1-3,1-1,2-2,2,1,3,2,0,1,1,0,5,+2
T. MannT. MannSG,29,2-6,0-3,2-2,2,5,7,5,0,0,1,2,6,-14
L. KennardL. KennardSG,26,3-7,1-4,2-3,0,1,1,2,0,0,1,0,9,-2
B. Boston Jr.B. Boston Jr.SG,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-2
K. JohnsonK. JohnsonSG,3,0-2,0-0,2-2,0,0,0,0,0,0,0,0,2,-2
