MEM,TOR,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,34,8-14,4-7,5-6,1,5,6,1,0,5,2,5,25,+21
D. BrooksD. BrooksSF,33,5-18,1-5,6-6,1,3,4,1,4,1,5,4,17,+12
S. AdamsS. AdamsC,26,2-3,0-0,0-0,3,5,8,2,2,0,2,0,4,-3
T. JonesT. JonesPG,34,2-10,0-3,0-0,0,3,3,6,3,0,2,0,4,+1
D. BaneD. BaneSG,33,8-16,5-9,2-3,2,5,7,2,0,0,4,1,23,+7
B. ClarkeB. ClarkePF,16,3-6,0-0,0-0,3,2,5,2,1,2,1,3,6,+7
S. AldamaS. AldamaPF,15,1-6,0-4,0-0,2,2,4,1,0,0,0,1,2,-4
K. AndersonK. AndersonSF,19,2-5,0-1,2-2,2,3,5,0,1,2,0,1,6,-11
J. KoncharJ. KoncharSG,11,1-2,0-1,0-0,0,2,2,1,1,0,0,0,2,+10
D. MeltonD. MeltonSG,17,4-13,0-4,1-2,4,6,10,2,1,0,1,0,9,-5
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,30,9-19,1-6,1-1,1,5,6,5,1,3,2,5,20,-1
P. AchiuwaP. AchiuwaPF,29,1-8,0-1,3-4,2,3,5,0,0,0,1,6,5,-2
S. BarnesS. BarnesSF,38,8-16,3-6,0-0,2,5,7,3,2,4,4,1,19,-11
F. VanVleetF. VanVleetSG,42,6-13,1-5,2-2,0,9,9,3,1,0,4,2,15,-2
S. MykhailiukS. MykhailiukSG,18,3-8,1-4,0-0,0,1,1,0,0,0,1,2,7,-2
C. BoucherC. BoucherPF,7,2-5,0-1,2-3,1,0,1,0,0,2,0,1,6,-8
Y. WatanabeY. WatanabeSF,29,4-9,3-8,0-0,2,4,6,0,0,0,1,1,11,-2
M. FlynnM. FlynnPG,22,2-8,1-7,0-0,0,2,2,1,1,0,2,2,5,-13
D. BantonD. BantonPG,15,1-3,0-1,0-0,3,3,6,2,0,0,2,1,2,+3
I. BongaI. BongaG,11,0-2,0-0,1-2,0,1,1,0,2,0,1,0,1,+3
