LAL,SAC,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,35,12-22,0-2,1-2,2,5,7,3,2,2,1,2,25,+10
D. JordanD. JordanC,4,0-1,0-0,0-0,0,2,2,0,0,0,0,0,0,-4
R. WestbrookR. WestbrookPG,35,9-21,1-5,4-7,0,5,5,6,1,0,4,2,23,+12
W. EllingtonW. EllingtonSG,33,3-6,3-6,0-0,0,1,1,2,3,1,0,4,9,+13
T. Horton-TuckerT. Horton-TuckerSG,16,1-3,0-1,0-0,0,2,2,2,1,1,3,4,2,-10
C. AnthonyC. AnthonyPF,19,4-9,0-2,6-6,0,1,1,1,1,0,0,1,14,+11
K. BazemoreK. BazemoreSF,2,1-2,1-1,0-0,0,1,1,1,0,0,0,0,3,+6
D. HowardD. HowardC,35,5-7,0-0,2-3,5,8,13,0,2,2,3,4,12,+27
R. RondoR. RondoPG,9,2-3,0-1,0-0,1,5,6,1,0,0,1,1,4,+19
M. MonkM. MonkSG,33,8-16,6-10,0-0,0,4,4,4,0,0,2,2,22,+33
A. ReavesA. ReavesSG,18,1-2,0-0,1-2,2,3,5,1,0,0,0,0,3,+8
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,36,7-10,0-1,0-0,3,8,11,0,3,0,0,1,14,-21
R. HolmesR. HolmesC,33,12-12,0-0,3-5,4,4,8,2,0,2,2,2,27,-11
D. FoxD. FoxPG,36,4-9,1-2,8-9,0,5,5,5,2,0,7,4,17,-21
T. HaliburtonT. HaliburtonPG,32,2-10,1-2,1-2,1,4,5,6,2,0,3,0,6,-1
T. DavisT. DavisSG,15,4-9,0-4,0-1,0,6,6,1,1,2,2,2,8,-3
L. KingL. KingPF,15,1-6,0-4,2-2,0,1,1,0,0,0,0,4,4,-10
A. LenA. LenC,12,1-1,1-1,0-0,1,0,1,1,1,0,1,4,3,-8
D. JonesD. JonesC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-6
D. MitchellD. MitchellPG,24,3-14,2-8,0-0,0,1,1,2,2,0,3,2,8,-17
B. HieldB. HieldSG,32,1-7,1-6,2-3,0,2,2,5,0,0,1,2,5,-21
J. RamseyJ. RamseySG,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-6
