ATL,IND,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,34,5-8,3-3,1-2,2,1,3,2,1,4,1,2,14,+22
C. CapelaC. CapelaC,33,4-9,0-0,0-0,3,6,9,4,0,2,1,2,8,-15
T. YoungT. YoungPG,37,13-27,3-10,4-4,1,7,8,10,2,0,4,2,33,+3
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,25,3-6,2-5,0-0,0,3,3,1,0,1,0,2,8,-1
K. HuerterK. HuerterSG,34,8-11,3-4,0-0,0,4,4,1,1,1,4,1,19,+2
D. GallinariD. GallinariPF,29,3-9,3-6,0-0,0,6,6,3,0,0,1,2,9,-1
S. HillS. HillSF,14,0-2,0-2,0-0,0,1,1,1,0,0,0,1,0,-1
L. WilliamsL. WilliamsSG,16,4-8,1-2,3-4,0,2,2,0,0,0,0,0,12,+5
D. WrightD. WrightSG,18,4-6,1-1,2-2,1,4,5,2,0,0,2,3,11,+1
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,39,9-10,2-2,2-3,2,8,10,4,0,0,3,5,22,+1
M. TurnerM. TurnerC,34,6-9,3-6,2-2,2,7,9,0,1,2,0,1,17,+2
M. BrogdonM. BrogdonPG,36,10-20,1-6,6-8,1,5,6,9,3,0,0,1,27,-3
C. LeVertC. LeVertSG,28,3-12,0-4,0-0,0,1,1,4,1,0,1,1,6,-4
C. DuarteC. DuarteSG,35,5-13,1-6,0-0,0,2,2,2,1,0,4,3,11,+3
T. CraigT. CraigSF,4,0-2,0-2,0-0,0,0,0,0,0,0,0,1,0,-13
O. BrissettO. BrissettSF,18,3-6,2-3,0-0,0,4,4,0,2,1,1,2,8,+3
B. WanamakerB. WanamakerPG,16,3-6,0-1,1-1,0,2,2,4,0,0,0,2,7,+3
T.J. McConnellT.J. McConnellPG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
J. LambJ. LambSG,12,4-8,1-1,2-2,3,2,5,0,0,1,0,2,11,-5
K. MartinK. MartinSG,14,1-4,0-2,0-0,0,1,1,0,0,0,1,0,2,+3
