MIN,WSH,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. PrinceT. PrincePF,16,2-4,1-3,0-1,0,2,2,0,0,0,0,3,5,-3
J. VanderbiltJ. VanderbiltPF,33,2-3,0-0,0-0,4,8,12,0,0,2,0,1,4,+1
A. EdwardsA. EdwardsSF,38,7-17,4-9,7-8,0,3,3,3,1,1,3,0,25,-5
K. TownsK. TownsC,33,11-25,2-4,10-11,5,5,10,1,1,1,3,3,34,-1
D. RussellD. RussellPG,39,3-18,1-12,3-4,1,4,5,9,0,2,3,1,10,-7
J. OkogieJ. OkogieSF,17,1-2,0-1,2-2,0,0,0,1,1,0,0,4,4,-11
N. ReidN. ReidC,18,6-10,1-3,0-0,2,1,3,0,0,0,2,4,13,-8
M. BeasleyM. BeasleySG,23,3-7,2-5,0-0,0,4,4,1,0,0,1,2,8,-8
J. NowellJ. NowellSG,6,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+7
L. BolmaroL. BolmaroSG,16,1-1,0-0,0-0,0,0,0,0,0,0,0,5,2,-5
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,32,2-6,1-3,0-0,0,6,6,5,1,3,2,3,5,+1
D. GaffordD. GaffordC,27,7-10,0-0,4-4,4,6,10,1,1,3,3,3,18,-1
S. DinwiddieS. DinwiddiePG,31,1-9,1-7,0-0,1,5,6,11,0,0,1,3,3,+1
B. BealB. BealSG,38,8-20,1-5,2-4,3,3,6,9,1,0,3,0,19,+10
K. Caldwell-PopeK. Caldwell-PopeSG,27,5-14,3-6,1-1,3,1,4,2,2,0,1,4,14,-1
D. BertansD. BertansSF,16,5-6,3-4,2-2,0,3,3,0,0,0,1,1,15,+7
C. KispertC. KispertSF,11,1-3,0-2,0-0,1,3,4,0,0,0,0,0,2,-2
D. AvdijaD. AvdijaSF,20,4-8,1-4,0-0,1,6,7,1,1,1,0,3,9,+9
M. HarrellM. HarrellC,21,11-12,0-0,5-8,1,4,5,3,0,0,2,4,27,+9
R. NetoR. NetoPG,17,1-3,0-1,1-2,0,1,1,2,0,0,0,2,3,+7
