PHI,BOS,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,32,4-11,0-4,0-0,0,6,6,1,1,1,2,0,8,-7
D. GreenD. GreenSF,21,2-6,2-6,0-0,0,0,0,0,0,0,0,3,6,-6
J. EmbiidJ. EmbiidC,33,3-17,1-3,6-10,4,14,18,6,2,3,0,1,13,-9
T. MaxeyT. MaxeyPG,33,3-13,0-2,0-0,1,5,6,1,0,0,0,1,6,-9
S. CurryS. CurrySG,36,7-13,2-3,1-1,0,0,0,6,1,0,2,5,17,-5
G. NiangG. NiangSF,19,4-10,0-5,4-4,0,1,1,0,0,1,0,0,12,+8
A. DrummondA. DrummondC,15,2-2,0-0,0-0,3,6,9,1,0,2,0,3,4,+8
M. ThybulleM. ThybulleSG,22,2-6,1-5,0-0,0,3,3,1,1,1,2,3,5,+1
S. MiltonS. MiltonSG,22,6-11,2-3,2-2,0,2,2,1,2,1,0,1,16,+5
F. KorkmazF. KorkmazSG,6,0-0,0-0,0-0,0,1,1,3,0,0,1,0,0,+9
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,37,9-20,3-8,5-5,0,16,16,2,1,0,2,2,26,+5
A. HorfordA. HorfordC,31,4-6,2-3,0-0,1,7,8,1,0,4,1,4,10,+5
R. Williams IIIR. Williams IIIC,25,5-7,0-0,0-0,2,2,4,0,0,3,1,1,10,+2
M. SmartM. SmartPG,32,2-7,1-3,1-2,0,2,2,8,2,0,3,1,6,+7
J. BrownJ. BrownSG,33,3-11,1-4,2-4,0,4,4,3,0,0,1,1,9,+5
G. WilliamsG. WilliamsPF,15,1-2,1-2,0-0,0,1,1,0,1,0,0,2,3,-4
E. FreedomE. FreedomC,17,2-7,0-1,0-0,1,6,7,0,0,1,1,2,4,-1
SchröderSchröder PG,30,4-12,2-4,3-4,0,1,1,3,1,0,3,0,13,-9
J. RichardsonJ. RichardsonSG,20,3-7,1-3,0-0,0,3,3,1,0,0,1,2,7,-5
